year,month,day,team,defensive_yards_per_game_allowed
2021,10,17,Green Bay,367.0
2021,10,17,San Francisco,304.0
2021,10,17,Chicago,259.0
2021,10,17,Tampa Bay,213.0
2021,10,17,Las Vegas,252.0
2021,10,17,Philadelphia,399.0
2021,10,17,Cincinnati,466.0
2021,10,17,Atlanta,230.0
2021,10,17,Arizona,338.0
2021,10,17,New Orleans,373.0
2021,10,17,Pittsburgh,374.0
2021,10,17,Minnesota,288.0
2021,10,17,Indianapolis,523.0
2021,10,17,LA Chargers,531.0
2021,10,17,NY Jets,450.0
2021,10,17,Tennessee,454.0
2021,10,17,Detroit,384.0
2021,10,17,LA Rams,354.0
2021,10,17,Baltimore,513.0
2021,10,17,Dallas,367.0
2021,10,17,Houston,352.0
2021,10,17,Washington,369.0
2021,10,17,Jacksonville,368.0
2021,10,17,NY Giants,515.0
2021,10,17,Miami,558.0
2021,10,17,Kansas City,436.0
2021,10,17,Seattle,476.0
2021,10,10,Buffalo,109.0
2021,10,10,Cleveland,255.0
2021,10,10,Carolina,433.0
2021,10,10,Denver,406.0
2021,10,10,New England,381.0
2021,10,10,Green Bay,282.0
2021,10,10,Cincinnati,341.0
2021,10,10,Indianapolis,203.0
2021,10,10,LA Chargers,213.0
2021,10,10,San Francisco,234.0
2021,10,10,New Orleans,485.0
2021,10,10,Chicago,351.0
2021,10,10,NY Jets,430.0
2021,10,10,Philadelphia,471.0
2021,10,10,Arizona,401.0
2021,10,10,Pittsburgh,367.0
2021,10,10,Tennessee,355.0
2021,10,10,Baltimore,254.0
2021,10,10,Las Vegas,380.0
2021,10,10,Tampa Bay,294.0
2021,10,10,Detroit,373.0
2021,10,10,NY Giants,405.0
2021,10,10,Atlanta,412.0
2021,10,10,LA Rams,354.0
2021,10,10,Miami,349.0
2021,10,10,Minnesota,327.0
2021,10,10,Dallas,379.0
2021,10,10,Houston,450.0
2021,10,10,Washington,374.0
2021,10,10,Jacksonville,420.0
2021,10,10,Kansas City,461.0
2021,10,10,Seattle,476.0
2021,10,3,Carolina,193.0
2021,10,3,Denver,162.0
2021,10,3,Cleveland,47.0
2021,10,3,Buffalo,290.0
2021,10,3,New England,252.0
2021,10,3,New Orleans,300.0
2021,10,3,Philadelphia,380.0
2021,10,3,Green Bay,298.0
2021,10,3,Cincinnati,341.0
2021,10,3,NY Jets,343.0
2021,10,3,Arizona,361.0
2021,10,3,Chicago,418.0
2021,10,3,Pittsburgh,268.0
2021,10,3,Las Vegas,330.0
2021,10,3,Tennessee,265.0
2021,10,3,San Francisco,353.0
2021,10,3,LA Chargers,437.0
2021,10,3,Indianapolis,368.0
2021,10,3,Atlanta,346.0
2021,10,3,LA Rams,446.0
2021,10,3,NY Giants,296.0
2021,10,3,Detroit,387.0
2021,10,3,Houston,407.0
2021,10,3,Baltimore,285.0
2021,10,3,Miami,497.0
2021,10,3,Tampa Bay,407.0
2021,10,3,Dallas,367.0
2021,10,3,Minnesota,389.0
2021,10,3,Jacksonville,420.0
2021,10,3,Kansas City,352.0
2021,10,3,Washington,481.0
2021,10,3,Seattle,453.0
2021,9,26,Carolina,193.0
2021,9,26,Buffalo,216.0
2021,9,26,Denver,189.0
2021,9,26,Philadelphia,306.0
2021,9,26,New England,336.0
2021,9,26,Cincinnati,206.0
2021,9,26,New Orleans,383.0
2021,9,26,Chicago,248.0
2021,9,26,NY Jets,260.0
2021,9,26,Green Bay,344.0
2021,9,26,Arizona,419.0
2021,9,26,LA Rams,354.0
2021,9,26,LA Chargers,419.0
2021,9,26,Cleveland,302.0
2021,9,26,Miami,314.0
2021,9,26,Las Vegas,331.0
2021,9,26,Indianapolis,371.0
2021,9,26,San Francisco,328.0
2021,9,26,Detroit,323.0
2021,9,26,Houston,407.0
2021,9,26,Atlanta,341.0
2021,9,26,Pittsburgh,425.0
2021,9,26,Tampa Bay,348.0
2021,9,26,Tennessee,397.0
2021,9,26,Washington,391.0
2021,9,26,NY Giants,407.0
2021,9,26,Dallas,408.0
2021,9,26,Minnesota,474.0
2021,9,26,Jacksonville,398.0
2021,9,26,Seattle,532.0
2021,9,26,Baltimore,405.0
2021,9,26,Kansas City,481.0
2021,9,19,New Orleans,229.0
2021,9,19,Arizona,248.0
2021,9,19,Buffalo,252.0
2021,9,19,Carolina,252.0
2021,9,19,New England,259.0
2021,9,19,LA Chargers,259.0
2021,9,19,Philadelphia,260.0
2021,9,19,Denver,314.0
2021,9,19,LA Rams,322.0
2021,9,19,Green Bay,322.0
2021,9,19,Seattle,336.0
2021,9,19,Minnesota,366.0
2021,9,19,Pittsburgh,371.0
2021,9,19,Indianapolis,381.0
2021,9,19,NY Jets,381.0
2021,9,19,Chicago,386.0
2021,9,19,Miami,393.0
2021,9,19,Houston,395.0
2021,9,19,Cleveland,397.0
2021,9,19,Cincinnati,403.0
2021,9,19,Las Vegas,406.0
2021,9,19,Washington,391.0
2021,9,19,NY Giants,407.0
2021,9,19,Tennessee,416.0
2021,9,19,San Francisco,430.0
2021,9,19,Dallas,431.0
2021,9,19,Atlanta,434.0
2021,9,19,Detroit,442.0
2021,9,19,Jacksonville,449.0
2021,9,19,Tampa Bay,451.0
2021,9,19,Kansas City,457.0
2021,9,19,Baltimore,491.0
2021,9,12,Dallas,431.0
2021,9,12,Tampa Bay,451.0
2021,9,5,LA Rams,484.0
2021,9,5,New Orleans,316.0
2021,9,5,Pittsburgh,390.0
2021,9,5,San Francisco,280.0
2021,9,5,Washington,507.0
2021,9,5,Baltimore,220.0
2021,9,5,Green Bay,351.0
2021,9,5,Tampa Bay,350.0
2021,9,5,Indianapolis,397.0
2021,9,5,LA Chargers,268.0
2021,9,5,Chicago,385.0
2021,9,5,NY Giants,307.0
2021,9,5,Arizona,333.0
2021,9,5,New England,350.0
2021,9,5,Kansas City,340.0
2021,9,5,Carolina,347.0
2021,9,5,Buffalo,439.0
2021,9,5,Philadelphia,248.0
2021,9,5,Miami,455.0
2021,9,5,Denver,465.0
2021,9,5,Cleveland,438.0
2021,9,5,Seattle,333.0
2021,9,5,Dallas,336.0
2021,9,5,NY Jets,404.0
2021,9,5,Las Vegas,446.0
2021,9,5,Cincinnati,525.0
2021,9,5,Minnesota,417.0
2021,9,5,Atlanta,485.0
2021,9,5,Tennessee,401.0
2021,9,5,Houston,492.0
2021,9,5,Jacksonville,437.0
2021,9,5,Detroit,508.0
2021,2,28,LA Rams,484.0
2021,2,28,New Orleans,316.0
2021,2,28,Pittsburgh,390.0
2021,2,28,San Francisco,280.0
2021,2,28,Washington,507.0
2021,2,28,Baltimore,220.0
2021,2,28,Green Bay,351.0
2021,2,28,Tampa Bay,350.0
2021,2,28,Indianapolis,397.0
2021,2,28,LA Chargers,268.0
2021,2,28,Chicago,385.0
2021,2,28,NY Giants,307.0
2021,2,28,Arizona,333.0
2021,2,28,New England,350.0
2021,2,28,Kansas City,340.0
2021,2,28,Carolina,347.0
2021,2,28,Buffalo,439.0
2021,2,28,Philadelphia,248.0
2021,2,28,Miami,455.0
2021,2,28,Denver,465.0
2021,2,28,Cleveland,438.0
2021,2,28,Seattle,333.0
2021,2,28,Dallas,336.0
2021,2,28,NY Jets,404.0
2021,2,28,Las Vegas,446.0
2021,2,28,Cincinnati,525.0
2021,2,28,Minnesota,417.0
2021,2,28,Atlanta,485.0
2021,2,28,Tennessee,401.0
2021,2,28,Houston,492.0
2021,2,28,Jacksonville,437.0
2021,2,28,Detroit,508.0
2021,2,21,LA Rams,484.0
2021,2,21,New Orleans,316.0
2021,2,21,Pittsburgh,390.0
2021,2,21,San Francisco,280.0
2021,2,21,Washington,507.0
2021,2,21,Baltimore,220.0
2021,2,21,Green Bay,351.0
2021,2,21,Tampa Bay,350.0
2021,2,21,Indianapolis,397.0
2021,2,21,LA Chargers,268.0
2021,2,21,Chicago,385.0
2021,2,21,NY Giants,307.0
2021,2,21,Arizona,333.0
2021,2,21,New England,350.0
2021,2,21,Kansas City,340.0
2021,2,21,Carolina,347.0
2021,2,21,Buffalo,439.0
2021,2,21,Philadelphia,248.0
2021,2,21,Miami,455.0
2021,2,21,Denver,465.0
2021,2,21,Cleveland,438.0
2021,2,21,Seattle,333.0
2021,2,21,Dallas,336.0
2021,2,21,NY Jets,404.0
2021,2,21,Las Vegas,446.0
2021,2,21,Cincinnati,525.0
2021,2,21,Minnesota,417.0
2021,2,21,Atlanta,485.0
2021,2,21,Tennessee,401.0
2021,2,21,Houston,492.0
2021,2,21,Jacksonville,437.0
2021,2,21,Detroit,508.0
2021,2,14,LA Rams,484.0
2021,2,14,New Orleans,316.0
2021,2,14,Pittsburgh,390.0
2021,2,14,San Francisco,280.0
2021,2,14,Washington,507.0
2021,2,14,Baltimore,220.0
2021,2,14,Green Bay,351.0
2021,2,14,Tampa Bay,350.0
2021,2,14,Indianapolis,397.0
2021,2,14,LA Chargers,268.0
2021,2,14,Chicago,385.0
2021,2,14,NY Giants,307.0
2021,2,14,Arizona,333.0
2021,2,14,New England,350.0
2021,2,14,Kansas City,340.0
2021,2,14,Carolina,347.0
2021,2,14,Buffalo,439.0
2021,2,14,Philadelphia,248.0
2021,2,14,Miami,455.0
2021,2,14,Denver,465.0
2021,2,14,Cleveland,438.0
2021,2,14,Seattle,333.0
2021,2,14,Dallas,336.0
2021,2,14,NY Jets,404.0
2021,2,14,Las Vegas,446.0
2021,2,14,Cincinnati,525.0
2021,2,14,Minnesota,417.0
2021,2,14,Atlanta,485.0
2021,2,14,Tennessee,401.0
2021,2,14,Houston,492.0
2021,2,14,Jacksonville,437.0
2021,2,14,Detroit,508.0
2021,2,7,LA Rams,484.0
2021,2,7,New Orleans,316.0
2021,2,7,Pittsburgh,390.0
2021,2,7,San Francisco,280.0
2021,2,7,Washington,507.0
2021,2,7,Baltimore,220.0
2021,2,7,Green Bay,351.0
2021,2,7,Tampa Bay,381.0
2021,2,7,Indianapolis,397.0
2021,2,7,LA Chargers,268.0
2021,2,7,Chicago,385.0
2021,2,7,NY Giants,307.0
2021,2,7,Arizona,333.0
2021,2,7,New England,350.0
2021,2,7,Kansas City,363.0
2021,2,7,Carolina,347.0
2021,2,7,Buffalo,439.0
2021,2,7,Philadelphia,248.0
2021,2,7,Miami,455.0
2021,2,7,Denver,465.0
2021,2,7,Cleveland,438.0
2021,2,7,Seattle,333.0
2021,2,7,Dallas,336.0
2021,2,7,NY Jets,404.0
2021,2,7,Las Vegas,446.0
2021,2,7,Cincinnati,525.0
2021,2,7,Minnesota,417.0
2021,2,7,Atlanta,485.0
2021,2,7,Tennessee,401.0
2021,2,7,Houston,492.0
2021,2,7,Jacksonville,437.0
2021,2,7,Detroit,508.0
2021,1,31,LA Rams,292.0
2021,1,31,Pittsburgh,365.0
2021,1,31,New Orleans,364.0
2021,1,31,Washington,280.0
2021,1,31,San Francisco,350.0
2021,1,31,Tampa Bay,186.0
2021,1,31,Green Bay,260.0
2021,1,31,Indianapolis,354.0
2021,1,31,Baltimore,269.0
2021,1,31,Buffalo,201.0
2021,1,31,Chicago,279.0
2021,1,31,LA Chargers,396.0
2021,1,31,NY Giants,432.0
2021,1,31,Arizona,398.0
2021,1,31,New England,474.0
2021,1,31,Kansas City,367.0
2021,1,31,Cleveland,333.0
2021,1,31,Carolina,386.0
2021,1,31,Denver,316.0
2021,1,31,Miami,418.0
2021,1,31,Philadelphia,513.0
2021,1,31,Cincinnati,488.0
2021,1,31,Seattle,334.0
2021,1,31,Las Vegas,383.0
2021,1,31,NY Jets,299.0
2021,1,31,Dallas,477.0
2021,1,31,Minnesota,583.0
2021,1,31,Atlanta,395.0
2021,1,31,Tennessee,448.0
2021,1,31,Houston,540.0
2021,1,31,Detroit,588.0
2021,1,31,Jacksonville,391.0
2021,1,24,LA Rams,289.0
2021,1,24,Pittsburgh,230.0
2021,1,24,New Orleans,411.0
2021,1,24,Washington,302.0
2021,1,24,San Francisco,291.0
2021,1,24,Tampa Bay,369.0
2021,1,24,Indianapolis,425.0
2021,1,24,Green Bay,364.0
2021,1,24,Baltimore,267.0
2021,1,24,LA Chargers,449.0
2021,1,24,New England,383.0
2021,1,24,NY Giants,392.0
2021,1,24,Arizona,422.0
2021,1,24,Chicago,407.0
2021,1,24,Kansas City,285.0
2021,1,24,Buffalo,255.0
2021,1,24,Cleveland,288.0
2021,1,24,Miami,303.0
2021,1,24,Carolina,291.0
2021,1,24,Philadelphia,526.0
2021,1,24,Denver,534.0
2021,1,24,Cincinnati,244.0
2021,1,24,Minnesota,397.0
2021,1,24,Dallas,458.0
2021,1,24,Las Vegas,402.0
2021,1,24,Seattle,353.0
2021,1,24,Tennessee,430.0
2021,1,24,Atlanta,416.0
2021,1,24,NY Jets,303.0
2021,1,24,Detroit,463.0
2021,1,24,Houston,350.0
2021,1,24,Jacksonville,409.0
2021,1,17,LA Rams,220.0
2021,1,17,New Orleans,413.0
2021,1,17,Pittsburgh,334.0
2021,1,17,Washington,344.0
2021,1,17,San Francisco,193.0
2021,1,17,Indianapolis,424.0
2021,1,17,Tampa Bay,335.0
2021,1,17,Green Bay,293.0
2021,1,17,LA Chargers,319.0
2021,1,17,New England,318.0
2021,1,17,NY Giants,390.0
2021,1,17,Arizona,159.0
2021,1,17,Chicago,263.0
2021,1,17,Philadelphia,358.0
2021,1,17,Baltimore,493.0
2021,1,17,Denver,370.0
2021,1,17,Kansas City,367.0
2021,1,17,Miami,448.0
2021,1,17,Cleveland,385.0
2021,1,17,Buffalo,224.0
2021,1,17,Carolina,365.0
2021,1,17,Minnesota,303.0
2021,1,17,Dallas,309.0
2021,1,17,Cincinnati,272.0
2021,1,17,Las Vegas,456.0
2021,1,17,Tennessee,354.0
2021,1,17,Seattle,185.0
2021,1,17,Atlanta,345.0
2021,1,17,Detroit,410.0
2021,1,17,NY Jets,410.0
2021,1,17,Houston,410.0
2021,1,17,Jacksonville,454.0
2021,1,10,New Orleans,332.0
2021,1,10,LA Rams,232.0
2021,1,10,Pittsburgh,318.0
2021,1,10,Washington,326.0
2021,1,10,Indianapolis,398.0
2021,1,10,San Francisco,449.0
2021,1,10,Tampa Bay,543.0
2021,1,10,Baltimore,388.0
2021,1,10,LA Chargers,291.0
2021,1,10,NY Giants,327.0
2021,1,10,Green Bay,278.0
2021,1,10,New England,258.0
2021,1,10,Philadelphia,437.0
2021,1,10,Denver,447.0
2021,1,10,Chicago,460.0
2021,1,10,Miami,196.0
2021,1,10,Kansas City,330.0
2021,1,10,Arizona,463.0
2021,1,10,Cleveland,431.0
2021,1,10,Carolina,387.0
2021,1,10,Buffalo,402.0
2021,1,10,Las Vegas,376.0
2021,1,10,Minnesota,390.0
2021,1,10,Dallas,401.0
2021,1,10,Tennessee,458.0
2021,1,10,Cincinnati,406.0
2021,1,10,Atlanta,424.0
2021,1,10,Detroit,389.0
2021,1,10,NY Jets,440.0
2021,1,10,Houston,371.0
2021,1,10,Seattle,290.0
2021,1,10,Jacksonville,420.0
2021,1,3,New Orleans,112.0
2021,1,3,LA Rams,345.0
2021,1,3,Pittsburgh,219.0
2021,1,3,Washington,247.0
2021,1,3,Indianapolis,449.0
2021,1,3,San Francisco,308.0
2021,1,3,Tampa Bay,543.0
2021,1,3,Baltimore,334.0
2021,1,3,Philadelphia,301.0
2021,1,3,NY Giants,155.0
2021,1,3,Denver,292.0
2021,1,3,LA Chargers,332.0
2021,1,3,Green Bay,350.0
2021,1,3,Chicago,393.0
2021,1,3,Arizona,179.0
2021,1,3,New England,298.0
2021,1,3,Cleveland,375.0
2021,1,3,Kansas City,417.0
2021,1,3,Carolina,387.0
2021,1,3,Miami,260.0
2021,1,3,Buffalo,367.0
2021,1,3,Las Vegas,304.0
2021,1,3,Dallas,338.0
2021,1,3,Minnesota,374.0
2021,1,3,Tennessee,336.0
2021,1,3,Cincinnati,386.0
2021,1,3,Atlanta,243.0
2021,1,3,NY Jets,345.0
2021,1,3,Detroit,384.0
2021,1,3,Houston,388.0
2021,1,3,Jacksonville,459.0
2021,1,3,Seattle,250.0
2020,12,27,LA Rams,289.0
2020,12,27,Pittsburgh,230.0
2020,12,27,New Orleans,364.0
2020,12,27,Washington,302.0
2020,12,27,San Francisco,350.0
2020,12,27,Tampa Bay,186.0
2020,12,27,Indianapolis,425.0
2020,12,27,Green Bay,364.0
2020,12,27,Baltimore,267.0
2020,12,27,LA Chargers,449.0
2020,12,27,New England,383.0
2020,12,27,NY Giants,392.0
2020,12,27,Chicago,407.0
2020,12,27,Arizona,398.0
2020,12,27,Kansas City,285.0
2020,12,27,Buffalo,255.0
2020,12,27,Cleveland,288.0
2020,12,27,Carolina,291.0
2020,12,27,Philadelphia,526.0
2020,12,27,Miami,418.0
2020,12,27,Denver,534.0
2020,12,27,Cincinnati,244.0
2020,12,27,Dallas,458.0
2020,12,27,Las Vegas,383.0
2020,12,27,Seattle,353.0
2020,12,27,Tennessee,430.0
2020,12,27,Minnesota,583.0
2020,12,27,Atlanta,416.0
2020,12,27,NY Jets,303.0
2020,12,27,Houston,350.0
2020,12,27,Detroit,588.0
2020,12,27,Jacksonville,409.0
2020,12,20,LA Rams,220.0
2020,12,20,New Orleans,413.0
2020,12,20,Pittsburgh,334.0
2020,12,20,Washington,344.0
2020,12,20,San Francisco,193.0
2020,12,20,Indianapolis,424.0
2020,12,20,Tampa Bay,335.0
2020,12,20,Green Bay,364.0
2020,12,20,New England,318.0
2020,12,20,NY Giants,390.0
2020,12,20,Arizona,159.0
2020,12,20,LA Chargers,449.0
2020,12,20,Chicago,263.0
2020,12,20,Philadelphia,358.0
2020,12,20,Baltimore,493.0
2020,12,20,Buffalo,255.0
2020,12,20,Kansas City,367.0
2020,12,20,Carolina,291.0
2020,12,20,Miami,448.0
2020,12,20,Cleveland,385.0
2020,12,20,Denver,534.0
2020,12,20,Minnesota,303.0
2020,12,20,Dallas,309.0
2020,12,20,Cincinnati,272.0
2020,12,20,Las Vegas,402.0
2020,12,20,Tennessee,354.0
2020,12,20,Seattle,185.0
2020,12,20,Atlanta,345.0
2020,12,20,Detroit,410.0
2020,12,20,NY Jets,410.0
2020,12,20,Houston,410.0
2020,12,20,Jacksonville,454.0
2020,12,13,LA Rams,220.0
2020,12,13,New Orleans,332.0
2020,12,13,Pittsburgh,318.0
2020,12,13,Washington,326.0
2020,12,13,Indianapolis,398.0
2020,12,13,San Francisco,449.0
2020,12,13,Tampa Bay,543.0
2020,12,13,Baltimore,388.0
2020,12,13,LA Chargers,291.0
2020,12,13,NY Giants,327.0
2020,12,13,Green Bay,278.0
2020,12,13,New England,318.0
2020,12,13,Philadelphia,437.0
2020,12,13,Denver,447.0
2020,12,13,Chicago,460.0
2020,12,13,Miami,196.0
2020,12,13,Kansas City,330.0
2020,12,13,Arizona,463.0
2020,12,13,Cleveland,431.0
2020,12,13,Carolina,387.0
2020,12,13,Buffalo,402.0
2020,12,13,Las Vegas,376.0
2020,12,13,Minnesota,390.0
2020,12,13,Dallas,401.0
2020,12,13,Tennessee,458.0
2020,12,13,Cincinnati,406.0
2020,12,13,Atlanta,424.0
2020,12,13,Detroit,389.0
2020,12,13,NY Jets,440.0
2020,12,13,Houston,371.0
2020,12,13,Seattle,290.0
2020,12,13,Jacksonville,420.0
2020,12,6,New Orleans,112.0
2020,12,6,LA Rams,345.0
2020,12,6,Pittsburgh,219.0
2020,12,6,Washington,247.0
2020,12,6,Indianapolis,449.0
2020,12,6,San Francisco,308.0
2020,12,6,Tampa Bay,543.0
2020,12,6,Baltimore,334.0
2020,12,6,Philadelphia,301.0
2020,12,6,NY Giants,155.0
2020,12,6,Denver,292.0
2020,12,6,LA Chargers,332.0
2020,12,6,Green Bay,350.0
2020,12,6,Chicago,393.0
2020,12,6,Arizona,179.0
2020,12,6,New England,298.0
2020,12,6,Cleveland,375.0
2020,12,6,Kansas City,417.0
2020,12,6,Carolina,387.0
2020,12,6,Miami,260.0
2020,12,6,Buffalo,367.0
2020,12,6,Las Vegas,304.0
2020,12,6,Dallas,338.0
2020,12,6,Minnesota,374.0
2020,12,6,Tennessee,336.0
2020,12,6,Cincinnati,386.0
2020,12,6,Atlanta,243.0
2020,12,6,NY Jets,345.0
2020,12,6,Detroit,384.0
2020,12,6,Houston,388.0
2020,12,6,Jacksonville,459.0
2020,12,6,Seattle,250.0
2020,11,29,Pittsburgh,292.0
2020,11,29,Indianapolis,398.0
2020,11,29,Tampa Bay,347.0
2020,11,29,Washington,142.0
2020,11,29,San Francisco,241.0
2020,11,29,LA Rams,279.0
2020,11,29,New Orleans,283.0
2020,11,29,Denver,286.0
2020,11,29,Baltimore,364.0
2020,11,29,Chicago,371.0
2020,11,29,Green Bay,365.0
2020,11,29,Philadelphia,325.0
2020,11,29,Carolina,415.0
2020,11,29,NY Giants,442.0
2020,11,29,Buffalo,190.0
2020,11,29,Miami,263.0
2020,11,29,New England,467.0
2020,11,29,Kansas City,411.0
2020,11,29,LA Chargers,294.0
2020,11,29,Arizona,572.0
2020,11,29,Cleveland,468.0
2020,11,29,Detroit,388.0
2020,11,29,NY Jets,422.0
2020,11,29,Cincinnati,398.0
2020,11,29,Tennessee,362.0
2020,11,29,Las Vegas,454.0
2020,11,29,Dallas,397.0
2020,11,29,Minnesota,462.0
2020,11,29,Houston,379.0
2020,11,29,Jacksonville,484.0
2020,11,29,Atlanta,386.0
2020,11,29,Seattle,519.0
2020,11,22,Tampa Bay,201.0
2020,11,22,Pittsburgh,220.0
2020,11,22,Indianapolis,398.0
2020,11,22,LA Rams,390.0
2020,11,22,San Francisco,311.0
2020,11,22,Washington,240.0
2020,11,22,Chicago,303.0
2020,11,22,New Orleans,350.0
2020,11,22,New England,299.0
2020,11,22,Baltimore,364.0
2020,11,22,Carolina,261.0
2020,11,22,NY Giants,337.0
2020,11,22,Arizona,344.0
2020,11,22,Green Bay,324.0
2020,11,22,Denver,288.0
2020,11,22,Kansas City,206.0
2020,11,22,Philadelphia,355.0
2020,11,22,Miami,263.0
2020,11,22,Cleveland,277.0
2020,11,22,NY Jets,302.0
2020,11,22,Detroit,275.0
2020,11,22,LA Chargers,408.0
2020,11,22,Buffalo,466.0
2020,11,22,Las Vegas,413.0
2020,11,22,Cincinnati,430.0
2020,11,22,Tennessee,412.0
2020,11,22,Dallas,438.0
2020,11,22,Minnesota,462.0
2020,11,22,Jacksonville,403.0
