year,month,day,team,defensive_sack_percentage
2018,10,7,Baltimore,2.08%
2018,10,7,Washington,8.16%
2018,10,7,Buffalo,4.76%
2018,10,7,LA Chargers,2.63%
2018,10,7,Cincinnati,7.14%
2018,10,7,Kansas City,10.81%
2018,10,7,LA Rams,7.41%
2018,10,7,Tampa Bay,3.70%
2018,10,7,San Francisco,2.50%
2018,10,7,Atlanta,6.82%
2018,10,7,Miami,0.00%
2018,10,7,NY Giants,2.86%
2018,10,7,Las Vegas,4.65%
2018,10,7,New England,1.67%
2018,9,30,Pittsburgh,0.00%
2018,9,30,Jacksonville,7.14%
2018,9,30,Carolina,2.94%
2018,9,30,LA Rams,9.09%
2018,9,30,LA Chargers,6.67%
2018,9,30,Chicago,6.45%
2018,9,30,Washington,6.67%
2018,9,30,New Orleans,4.76%
2018,9,30,New England,0.00%
2018,9,30,Cincinnati,2.08%
2018,9,30,Green Bay,6.45%
2018,9,30,Baltimore,2.22%
2018,9,30,Seattle,2.86%
2018,9,30,Atlanta,3.23%
2018,9,30,Tennessee,0.00%
2018,9,30,Dallas,8.11%
2018,9,30,Denver,5.26%
2018,9,30,Arizona,9.38%
2018,9,30,Cleveland,10.00%
2018,9,30,Houston,3.85%
2018,9,30,Minnesota,2.94%
2018,9,30,Detroit,11.11%
2018,9,30,Philadelphia,2.00%
2018,9,30,Las Vegas,2.63%
2018,9,30,Miami,12.90%
2018,9,30,San Francisco,8.11%
2018,9,30,Kansas City,6.06%
2018,9,30,NY Jets,4.76%
2018,9,30,Indianapolis,7.69%
2018,9,30,Buffalo,8.00%
2018,9,30,NY Giants,7.50%
2018,9,30,Tampa Bay,6.25%
2018,9,23,Pittsburgh,0.00%
2018,9,23,Jacksonville,7.14%
2018,9,23,Carolina,2.94%
2018,9,23,LA Rams,9.09%
2018,9,23,LA Chargers,6.67%
2018,9,23,Chicago,6.45%
2018,9,23,Washington,6.67%
2018,9,23,New Orleans,4.76%
2018,9,23,New England,0.00%
2018,9,23,Cincinnati,2.08%
2018,9,23,Green Bay,6.45%
2018,9,23,Baltimore,2.22%
2018,9,23,Seattle,2.86%
2018,9,23,Atlanta,3.23%
2018,9,23,Tennessee,0.00%
2018,9,23,Dallas,8.11%
2018,9,23,Denver,5.26%
2018,9,23,Arizona,9.38%
2018,9,23,Cleveland,10.00%
2018,9,23,Houston,3.85%
2018,9,23,Minnesota,2.94%
2018,9,23,Detroit,11.11%
2018,9,23,Philadelphia,2.00%
2018,9,23,Las Vegas,2.63%
2018,9,23,Miami,12.90%
2018,9,23,San Francisco,8.11%
2018,9,23,Kansas City,6.06%
2018,9,23,NY Jets,4.76%
2018,9,23,Indianapolis,7.69%
2018,9,23,Buffalo,8.00%
2018,9,23,NY Giants,7.50%
2018,9,23,Tampa Bay,6.25%
2018,9,16,Pittsburgh,0.00%
2018,9,16,Jacksonville,7.14%
2018,9,16,Carolina,2.94%
2018,9,16,LA Rams,9.09%
2018,9,16,LA Chargers,6.67%
2018,9,16,Chicago,6.45%
2018,9,16,Washington,6.67%
2018,9,16,New Orleans,4.76%
2018,9,16,New England,0.00%
2018,9,16,Cincinnati,2.08%
2018,9,16,Green Bay,6.45%
2018,9,16,Baltimore,2.22%
2018,9,16,Seattle,2.86%
2018,9,16,Atlanta,3.23%
2018,9,16,Tennessee,0.00%
2018,9,16,Dallas,8.11%
2018,9,16,Denver,5.26%
2018,9,16,Arizona,9.38%
2018,9,16,Cleveland,10.00%
2018,9,16,Houston,3.85%
2018,9,16,Minnesota,2.94%
2018,9,16,Detroit,11.11%
2018,9,16,Philadelphia,2.00%
2018,9,16,Las Vegas,2.63%
2018,9,16,Miami,12.90%
2018,9,16,San Francisco,8.11%
2018,9,16,Kansas City,6.06%
2018,9,16,NY Jets,4.76%
2018,9,16,Indianapolis,7.69%
2018,9,16,Buffalo,8.00%
2018,9,16,NY Giants,7.50%
2018,9,16,Tampa Bay,6.25%
2018,9,9,Pittsburgh,0.00%
2018,9,9,Jacksonville,7.14%
2018,9,9,Carolina,2.94%
2018,9,9,LA Rams,9.09%
2018,9,9,LA Chargers,6.67%
2018,9,9,Chicago,6.45%
2018,9,9,Washington,6.67%
2018,9,9,New Orleans,4.76%
2018,9,9,New England,0.00%
2018,9,9,Cincinnati,2.08%
2018,9,9,Green Bay,6.45%
2018,9,9,Baltimore,2.22%
2018,9,9,Seattle,2.86%
2018,9,9,Atlanta,3.23%
2018,9,9,Tennessee,0.00%
2018,9,9,Dallas,8.11%
2018,9,9,Denver,5.26%
2018,9,9,Arizona,9.38%
2018,9,9,Cleveland,10.00%
2018,9,9,Houston,3.85%
2018,9,9,Minnesota,2.94%
2018,9,9,Detroit,11.11%
2018,9,9,Philadelphia,2.00%
2018,9,9,Las Vegas,2.63%
2018,9,9,Miami,12.90%
2018,9,9,San Francisco,8.11%
2018,9,9,Kansas City,6.06%
2018,9,9,NY Jets,4.76%
2018,9,9,Indianapolis,7.69%
2018,9,9,Buffalo,8.00%
2018,9,9,NY Giants,7.50%
2018,9,9,Tampa Bay,6.25%
2018,9,2,Pittsburgh,0.00%
2018,9,2,Jacksonville,7.14%
2018,9,2,Carolina,2.94%
2018,9,2,LA Rams,9.09%
2018,9,2,LA Chargers,6.67%
2018,9,2,Chicago,6.45%
2018,9,2,Washington,6.67%
2018,9,2,New Orleans,4.76%
2018,9,2,New England,0.00%
2018,9,2,Cincinnati,2.08%
2018,9,2,Green Bay,6.45%
2018,9,2,Baltimore,2.22%
2018,9,2,Seattle,2.86%
2018,9,2,Atlanta,3.23%
2018,9,2,Tennessee,0.00%
2018,9,2,Dallas,8.11%
2018,9,2,Denver,5.26%
2018,9,2,Arizona,9.38%
2018,9,2,Cleveland,10.00%
2018,9,2,Houston,3.85%
2018,9,2,Minnesota,2.94%
2018,9,2,Detroit,11.11%
2018,9,2,Philadelphia,2.00%
2018,9,2,Las Vegas,2.63%
2018,9,2,Miami,12.90%
2018,9,2,San Francisco,8.11%
2018,9,2,Kansas City,6.06%
2018,9,2,NY Jets,4.76%
2018,9,2,Indianapolis,7.69%
2018,9,2,Buffalo,8.00%
2018,9,2,NY Giants,7.50%
2018,9,2,Tampa Bay,6.25%
2018,2,25,Pittsburgh,0.00%
2018,2,25,Jacksonville,7.14%
2018,2,25,Carolina,2.94%
2018,2,25,LA Rams,9.09%
2018,2,25,LA Chargers,6.67%
2018,2,25,Chicago,6.45%
2018,2,25,Washington,6.67%
2018,2,25,New Orleans,4.76%
2018,2,25,New England,0.00%
2018,2,25,Cincinnati,2.08%
2018,2,25,Green Bay,6.45%
2018,2,25,Baltimore,2.22%
2018,2,25,Seattle,2.86%
2018,2,25,Atlanta,3.23%
2018,2,25,Tennessee,0.00%
2018,2,25,Dallas,8.11%
2018,2,25,Denver,5.26%
2018,2,25,Arizona,9.38%
2018,2,25,Cleveland,10.00%
2018,2,25,Houston,3.85%
2018,2,25,Minnesota,2.94%
2018,2,25,Detroit,11.11%
2018,2,25,Philadelphia,2.00%
2018,2,25,Las Vegas,2.63%
2018,2,25,Miami,12.90%
2018,2,25,San Francisco,8.11%
2018,2,25,Kansas City,6.06%
2018,2,25,NY Jets,4.76%
2018,2,25,Indianapolis,7.69%
2018,2,25,Buffalo,8.00%
2018,2,25,NY Giants,7.50%
2018,2,25,Tampa Bay,6.25%
2018,2,18,Pittsburgh,0.00%
2018,2,18,Jacksonville,7.14%
2018,2,18,Carolina,2.94%
2018,2,18,LA Rams,9.09%
2018,2,18,LA Chargers,6.67%
2018,2,18,Chicago,6.45%
2018,2,18,Washington,6.67%
2018,2,18,New Orleans,4.76%
2018,2,18,New England,0.00%
2018,2,18,Cincinnati,2.08%
2018,2,18,Green Bay,6.45%
2018,2,18,Baltimore,2.22%
2018,2,18,Seattle,2.86%
2018,2,18,Atlanta,3.23%
2018,2,18,Tennessee,0.00%
2018,2,18,Dallas,8.11%
2018,2,18,Denver,5.26%
2018,2,18,Arizona,9.38%
2018,2,18,Cleveland,10.00%
2018,2,18,Houston,3.85%
2018,2,18,Minnesota,2.94%
2018,2,18,Detroit,11.11%
2018,2,18,Philadelphia,2.00%
2018,2,18,Las Vegas,2.63%
2018,2,18,Miami,12.90%
2018,2,18,San Francisco,8.11%
2018,2,18,Kansas City,6.06%
2018,2,18,NY Jets,4.76%
2018,2,18,Indianapolis,7.69%
2018,2,18,Buffalo,8.00%
2018,2,18,NY Giants,7.50%
2018,2,18,Tampa Bay,6.25%
2018,2,11,Pittsburgh,0.00%
2018,2,11,Jacksonville,7.14%
2018,2,11,Carolina,2.94%
2018,2,11,LA Rams,9.09%
2018,2,11,LA Chargers,6.67%
2018,2,11,Chicago,6.45%
2018,2,11,Washington,6.67%
2018,2,11,New Orleans,4.76%
2018,2,11,New England,0.00%
2018,2,11,Cincinnati,2.08%
2018,2,11,Green Bay,6.45%
2018,2,11,Baltimore,2.22%
2018,2,11,Seattle,2.86%
2018,2,11,Atlanta,3.23%
2018,2,11,Tennessee,0.00%
2018,2,11,Dallas,8.11%
2018,2,11,Denver,5.26%
2018,2,11,Arizona,9.38%
2018,2,11,Cleveland,10.00%
2018,2,11,Houston,3.85%
2018,2,11,Minnesota,2.94%
2018,2,11,Detroit,11.11%
2018,2,11,Philadelphia,2.00%
2018,2,11,Las Vegas,2.63%
2018,2,11,Miami,12.90%
2018,2,11,San Francisco,8.11%
2018,2,11,Kansas City,6.06%
2018,2,11,NY Jets,4.76%
2018,2,11,Indianapolis,7.69%
2018,2,11,Buffalo,8.00%
2018,2,11,NY Giants,7.50%
2018,2,11,Tampa Bay,6.25%
2018,2,4,Pittsburgh,0.00%
2018,2,4,Jacksonville,7.14%
2018,2,4,Carolina,2.94%
2018,2,4,LA Rams,9.09%
2018,2,4,LA Chargers,6.67%
2018,2,4,New England,7.69%
2018,2,4,Chicago,6.45%
2018,2,4,Washington,6.67%
2018,2,4,New Orleans,4.76%
2018,2,4,Cincinnati,2.08%
2018,2,4,Green Bay,6.45%
2018,2,4,Baltimore,2.22%
2018,2,4,Seattle,2.86%
2018,2,4,Atlanta,3.23%
2018,2,4,Tennessee,0.00%
2018,2,4,Dallas,8.11%
2018,2,4,Denver,5.26%
2018,2,4,Arizona,9.38%
2018,2,4,Cleveland,10.00%
2018,2,4,Houston,3.85%
2018,2,4,Minnesota,2.94%
2018,2,4,Detroit,11.11%
2018,2,4,Philadelphia,2.04%
2018,2,4,Las Vegas,2.63%
2018,2,4,Miami,12.90%
2018,2,4,San Francisco,8.11%
2018,2,4,Kansas City,6.06%
2018,2,4,NY Jets,4.76%
2018,2,4,Indianapolis,7.69%
2018,2,4,Buffalo,8.00%
2018,2,4,NY Giants,7.50%
2018,2,4,Tampa Bay,6.25%
2018,1,28,Pittsburgh,0.00%
2018,1,28,Jacksonville,7.14%
2018,1,28,Carolina,2.94%
2018,1,28,LA Rams,9.09%
2018,1,28,LA Chargers,6.67%
2018,1,28,New England,7.69%
2018,1,28,Chicago,6.45%
2018,1,28,Washington,6.67%
2018,1,28,New Orleans,4.76%
2018,1,28,Cincinnati,2.08%
2018,1,28,Green Bay,6.45%
2018,1,28,Baltimore,2.22%
2018,1,28,Seattle,2.86%
2018,1,28,Atlanta,3.23%
2018,1,28,Tennessee,0.00%
2018,1,28,Dallas,8.11%
2018,1,28,Denver,5.26%
2018,1,28,Arizona,9.38%
2018,1,28,Cleveland,10.00%
2018,1,28,Houston,3.85%
2018,1,28,Minnesota,2.94%
2018,1,28,Detroit,11.11%
2018,1,28,Philadelphia,2.04%
2018,1,28,Las Vegas,2.63%
2018,1,28,Miami,12.90%
2018,1,28,San Francisco,8.11%
2018,1,28,Kansas City,6.06%
2018,1,28,NY Jets,4.76%
2018,1,28,Indianapolis,7.69%
2018,1,28,Buffalo,8.00%
2018,1,28,NY Giants,7.50%
2018,1,28,Tampa Bay,6.25%
2018,1,21,Pittsburgh,0.00%
2018,1,21,Jacksonville,3.33%
2018,1,21,Carolina,2.94%
2018,1,21,LA Rams,9.09%
2018,1,21,LA Chargers,6.67%
2018,1,21,New England,17.78%
2018,1,21,Chicago,6.45%
2018,1,21,Washington,6.67%
2018,1,21,New Orleans,4.76%
2018,1,21,Cincinnati,2.08%
2018,1,21,Green Bay,6.45%
2018,1,21,Baltimore,2.22%
2018,1,21,Seattle,2.86%
2018,1,21,Atlanta,3.23%
2018,1,21,Dallas,8.11%
2018,1,21,Denver,5.26%
2018,1,21,Tennessee,0.00%
2018,1,21,Arizona,9.38%
2018,1,21,Minnesota,4.65%
2018,1,21,Cleveland,10.00%
2018,1,21,Philadelphia,7.69%
2018,1,21,Houston,3.85%
2018,1,21,Detroit,11.11%
2018,1,21,Las Vegas,2.63%
2018,1,21,Miami,12.90%
2018,1,21,San Francisco,8.11%
2018,1,21,Kansas City,6.06%
2018,1,21,NY Jets,4.76%
2018,1,21,Indianapolis,7.69%
2018,1,21,Buffalo,8.00%
2018,1,21,NY Giants,7.50%
2018,1,21,Tampa Bay,6.25%
2018,1,14,Pittsburgh,16.67%
2018,1,14,Jacksonville,4.76%
2018,1,14,Carolina,2.94%
2018,1,14,LA Rams,9.09%
2018,1,14,LA Chargers,6.67%
2018,1,14,New England,17.78%
2018,1,14,Chicago,6.45%
2018,1,14,Washington,6.67%
2018,1,14,New Orleans,8.89%
2018,1,14,Cincinnati,2.08%
2018,1,14,Green Bay,6.45%
2018,1,14,Baltimore,2.22%
2018,1,14,Seattle,2.86%
2018,1,14,Atlanta,3.23%
2018,1,14,Dallas,8.11%
2018,1,14,Denver,5.26%
2018,1,14,Minnesota,2.63%
2018,1,14,Tennessee,0.00%
2018,1,14,Arizona,9.38%
2018,1,14,Cleveland,10.00%
2018,1,14,Philadelphia,7.69%
2018,1,14,Houston,3.85%
2018,1,14,Detroit,11.11%
2018,1,14,Las Vegas,2.63%
2018,1,14,Miami,12.90%
2018,1,14,San Francisco,8.11%
2018,1,14,Kansas City,6.06%
2018,1,14,NY Jets,4.76%
2018,1,14,Indianapolis,7.69%
2018,1,14,Buffalo,8.00%
2018,1,14,NY Giants,7.50%
2018,1,14,Tampa Bay,6.25%
2018,1,7,Pittsburgh,16.67%
2018,1,7,Jacksonville,12.50%
2018,1,7,Carolina,2.17%
2018,1,7,LA Rams,9.09%
2018,1,7,LA Chargers,6.67%
2018,1,7,Chicago,6.45%
2018,1,7,Washington,6.67%
2018,1,7,New Orleans,3.77%
2018,1,7,Cincinnati,2.08%
2018,1,7,Green Bay,6.45%
2018,1,7,Tennessee,10.81%
2018,1,7,Baltimore,2.22%
2018,1,7,New England,10.00%
2018,1,7,Seattle,2.86%
2018,1,7,Atlanta,6.25%
2018,1,7,Dallas,8.11%
2018,1,7,Denver,5.26%
2018,1,7,Minnesota,2.63%
2018,1,7,Arizona,9.38%
2018,1,7,Cleveland,10.00%
2018,1,7,Houston,3.85%
2018,1,7,Philadelphia,3.23%
2018,1,7,Detroit,11.11%
2018,1,7,Las Vegas,2.63%
2018,1,7,Miami,12.90%
2018,1,7,San Francisco,8.11%
2018,1,7,Kansas City,6.06%
2018,1,7,NY Jets,4.76%
2018,1,7,Indianapolis,7.69%
2018,1,7,NY Giants,7.50%
2018,1,7,Buffalo,2.22%
2018,1,7,Tampa Bay,6.25%
2017,12,31,Pittsburgh,29.17%
2017,12,31,Jacksonville,3.23%
2017,12,31,Carolina,18.18%
2017,12,31,LA Rams,2.50%
2017,12,31,LA Chargers,9.68%
2017,12,31,Chicago,2.70%
2017,12,31,New Orleans,12.20%
2017,12,31,Washington,9.52%
2017,12,31,Cincinnati,5.41%
2017,12,31,Baltimore,5.71%
2017,12,31,Seattle,10.53%
2017,12,31,Green Bay,10.71%
2017,12,31,Atlanta,3.45%
2017,12,31,Tennessee,2.50%
2017,12,31,Minnesota,2.44%
2017,12,31,New England,13.64%
2017,12,31,Denver,0.00%
2017,12,31,Dallas,12.50%
2017,12,31,Houston,0.00%
2017,12,31,Philadelphia,3.33%
2017,12,31,Arizona,4.26%
2017,12,31,Cleveland,17.86%
2017,12,31,Las Vegas,5.00%
2017,12,31,Detroit,6.82%
2017,12,31,San Francisco,1.96%
2017,12,31,Miami,2.50%
2017,12,31,NY Jets,0.00%
2017,12,31,Buffalo,6.67%
2017,12,31,Kansas City,0.00%
2017,12,31,Indianapolis,2.56%
2017,12,31,NY Giants,5.41%
2017,12,31,Tampa Bay,7.14%
2017,12,24,Jacksonville,11.43%
2017,12,24,LA Rams,18.92%
2017,12,24,Pittsburgh,5.41%
2017,12,24,Carolina,6.25%
2017,12,24,Chicago,10.81%
2017,12,24,LA Chargers,3.23%
2017,12,24,Cincinnati,7.41%
2017,12,24,Washington,10.87%
2017,12,24,Baltimore,5.71%
2017,12,24,New Orleans,2.50%
2017,12,24,Denver,3.23%
2017,12,24,Atlanta,5.41%
2017,12,24,Tennessee,6.52%
2017,12,24,Green Bay,10.71%
2017,12,24,Seattle,8.00%
2017,12,24,Houston,3.33%
2017,12,24,Minnesota,2.44%
2017,12,24,Philadelphia,1.72%
2017,12,24,Arizona,3.70%
2017,12,24,Dallas,0.00%
2017,12,24,New England,6.25%
2017,12,24,Las Vegas,6.90%
2017,12,24,San Francisco,2.94%
2017,12,24,Detroit,4.17%
2017,12,24,Cleveland,2.33%
2017,12,24,NY Jets,0.00%
2017,12,24,Miami,6.45%
2017,12,24,Kansas City,5.26%
2017,12,24,Buffalo,5.77%
2017,12,24,Indianapolis,2.56%
2017,12,24,NY Giants,2.56%
2017,12,24,Tampa Bay,3.13%
2017,12,17,Jacksonville,6.06%
2017,12,17,Pittsburgh,2.78%
2017,12,17,Carolina,12.00%
2017,12,17,LA Rams,3.77%
2017,12,17,Chicago,10.81%
2017,12,17,LA Chargers,3.23%
2017,12,17,New Orleans,3.57%
2017,12,17,Cincinnati,5.88%
2017,12,17,Baltimore,4.35%
2017,12,17,Atlanta,5.41%
2017,12,17,Denver,3.23%
2017,12,17,Tennessee,23.53%
2017,12,17,Washington,5.56%
2017,12,17,Green Bay,6.67%
2017,12,17,Philadelphia,7.14%
2017,12,17,Houston,5.71%
2017,12,17,Minnesota,7.41%
2017,12,17,Seattle,0.00%
2017,12,17,Dallas,0.00%
2017,12,17,Arizona,8.82%
2017,12,17,New England,5.00%
2017,12,17,Las Vegas,10.53%
2017,12,17,NY Jets,6.06%
2017,12,17,San Francisco,7.32%
2017,12,17,Cleveland,2.13%
2017,12,17,Detroit,4.17%
2017,12,17,Miami,4.44%
2017,12,17,Kansas City,5.26%
2017,12,17,Indianapolis,10.34%
2017,12,17,NY Giants,0.00%
2017,12,17,Buffalo,4.35%
2017,12,17,Tampa Bay,0.00%
2017,12,10,Jacksonville,10.00%
2017,12,10,Pittsburgh,5.26%
2017,12,10,LA Rams,17.95%
2017,12,10,Carolina,5.56%
2017,12,10,LA Chargers,8.57%
2017,12,10,Baltimore,8.11%
2017,12,10,Chicago,5.13%
2017,12,10,Cincinnati,2.44%
2017,12,10,New Orleans,3.57%
2017,12,10,Dallas,9.76%
2017,12,10,Atlanta,5.41%
2017,12,10,Washington,4.35%
2017,12,10,Seattle,6.25%
2017,12,10,Houston,8.00%
2017,12,10,Green Bay,17.95%
2017,12,10,Philadelphia,6.06%
2017,12,10,Denver,5.88%
2017,12,10,Minnesota,0.00%
2017,12,10,Arizona,3.13%
2017,12,10,New England,10.53%
2017,12,10,Cleveland,2.27%
2017,12,10,Tennessee,7.55%
2017,12,10,NY Jets,5.71%
2017,12,10,San Francisco,11.76%
2017,12,10,Las Vegas,8.11%
2017,12,10,Detroit,0.00%
2017,12,10,Miami,6.82%
2017,12,10,NY Giants,2.70%
2017,12,10,Kansas City,0.00%
2017,12,10,Indianapolis,2.70%
2017,12,10,Buffalo,9.09%
2017,12,10,Tampa Bay,8.33%
2017,12,3,Jacksonville,2.56%
2017,12,3,Pittsburgh,13.33%
2017,12,3,Carolina,7.69%
2017,12,3,Cincinnati,11.11%
2017,12,3,Baltimore,5.13%
2017,12,3,LA Chargers,6.90%
2017,12,3,Chicago,2.50%
2017,12,3,LA Rams,8.57%
2017,12,3,New Orleans,8.33%
2017,12,3,Atlanta,2.22%
2017,12,3,Dallas,9.76%
2017,12,3,Minnesota,7.89%
2017,12,3,Washington,4.35%
2017,12,3,Seattle,6.98%
2017,12,3,Philadelphia,5.71%
2017,12,3,Houston,2.94%
2017,12,3,Denver,7.69%
2017,12,3,Arizona,8.33%
2017,12,3,Cleveland,3.45%
2017,12,3,Detroit,6.25%
2017,12,3,Green Bay,2.17%
2017,12,3,NY Jets,9.68%
2017,12,3,New England,17.07%
2017,12,3,Tennessee,21.62%
2017,12,3,Kansas City,6.45%
2017,12,3,San Francisco,0.00%
2017,12,3,Las Vegas,12.50%
2017,12,3,NY Giants,16.22%
2017,12,3,Miami,3.45%
2017,12,3,Indianapolis,0.00%
2017,12,3,Buffalo,5.26%
2017,12,3,Tampa Bay,0.00%
2017,11,26,Jacksonville,13.51%
2017,11,26,Pittsburgh,12.82%
2017,11,26,Chicago,8.82%
2017,11,26,Carolina,0.00%
2017,11,26,Baltimore,14.29%
2017,11,26,LA Chargers,6.90%
2017,11,26,Atlanta,6.52%
2017,11,26,Cincinnati,6.67%
2017,11,26,LA Rams,0.00%
2017,11,26,New Orleans,5.88%
2017,11,26,Houston,5.56%
2017,11,26,Washington,12.90%
2017,11,26,Minnesota,7.89%
2017,11,26,Seattle,3.57%
2017,11,26,Philadelphia,11.11%
2017,11,26,Dallas,0.00%
2017,11,26,Denver,7.41%
2017,11,26,Cleveland,6.25%
2017,11,26,Arizona,3.03%
2017,11,26,Green Bay,9.68%
2017,11,26,Detroit,6.25%
2017,11,26,San Francisco,7.50%
2017,11,26,Indianapolis,3.13%
2017,11,26,NY Jets,2.86%
2017,11,26,Miami,2.63%
2017,11,26,Kansas City,0.00%
2017,11,26,NY Giants,16.22%
2017,11,26,New England,2.00%
2017,11,26,Las Vegas,2.63%
2017,11,26,Tampa Bay,2.44%
2017,11,26,Tennessee,6.25%
2017,11,26,Buffalo,2.63%
2017,11,19,Jacksonville,0.00%
2017,11,19,Pittsburgh,12.82%
2017,11,19,LA Rams,7.69%
2017,11,19,LA Chargers,5.56%
2017,11,19,Carolina,0.00%
2017,11,19,Chicago,10.71%
2017,11,19,Dallas,3.33%
2017,11,19,Atlanta,21.05%
2017,11,19,Cincinnati,8.33%
2017,11,19,New Orleans,6.67%
2017,11,19,Houston,7.32%
2017,11,19,Baltimore,9.68%
2017,11,19,Seattle,4.08%
2017,11,19,Minnesota,2.17%
2017,11,19,Washington,0.00%
2017,11,19,Cleveland,13.33%
2017,11,19,Denver,2.63%
2017,11,19,Philadelphia,7.32%
2017,11,19,Arizona,13.51%
2017,11,19,Detroit,9.09%
2017,11,19,Green Bay,12.50%
2017,11,19,San Francisco,7.50%
2017,11,19,Kansas City,2.94%
2017,11,19,Miami,0.00%
2017,11,19,Indianapolis,3.13%
2017,11,19,NY Jets,2.86%
2017,11,19,New England,0.00%
2017,11,19,Las Vegas,2.33%
2017,11,19,Tampa Bay,13.33%
2017,11,19,Buffalo,0.00%
2017,11,19,Tennessee,6.25%
2017,11,19,NY Giants,0.00%
2017,11,12,Jacksonville,10.00%
2017,11,12,Carolina,5.00%
2017,11,12,LA Chargers,6.00%
2017,11,12,Pittsburgh,4.26%
2017,11,12,LA Rams,5.00%
2017,11,12,Dallas,5.56%
2017,11,12,Chicago,6.67%
2017,11,12,Minnesota,8.11%
2017,11,12,New Orleans,12.50%
2017,11,12,Cincinnati,0.00%
2017,11,12,Washington,4.26%
2017,11,12,Houston,9.09%
2017,11,12,Baltimore,9.68%
2017,11,12,Seattle,4.08%
2017,11,12,Denver,6.67%
2017,11,12,Philadelphia,7.32%
2017,11,12,Arizona,13.51%
2017,11,12,Atlanta,4.00%
2017,11,12,Miami,3.23%
2017,11,12,Cleveland,2.27%
2017,11,12,Kansas City,2.94%
2017,11,12,Detroit,7.32%
2017,11,12,NY Jets,14.89%
2017,11,12,Indianapolis,4.35%
2017,11,12,San Francisco,0.00%
2017,11,12,New England,3.23%
2017,11,12,Green Bay,2.94%
2017,11,12,Buffalo,4.76%
2017,11,12,Las Vegas,2.33%
2017,11,12,NY Giants,0.00%
2017,11,12,Tennessee,3.64%
2017,11,12,Tampa Bay,3.57%
2017,11,5,Jacksonville,21.28%
2017,11,5,Carolina,7.32%
2017,11,5,LA Rams,8.57%
2017,11,5,Pittsburgh,4.26%
2017,11,5,LA Chargers,6.00%
2017,11,5,Cincinnati,9.30%
2017,11,5,Dallas,9.30%
2017,11,5,Washington,8.33%
2017,11,5,Chicago,6.67%
2017,11,5,Minnesota,8.11%
2017,11,5,New Orleans,5.88%
2017,11,5,Denver,3.03%
2017,11,5,Houston,4.65%
2017,11,5,Baltimore,6.38%
2017,11,5,Seattle,14.29%
2017,11,5,Miami,0.00%
2017,11,5,Atlanta,8.33%
2017,11,5,Philadelphia,10.00%
2017,11,5,San Francisco,8.57%
2017,11,5,Kansas City,7.69%
2017,11,5,Cleveland,2.27%
2017,11,5,Indianapolis,9.38%
2017,11,5,NY Jets,14.89%
2017,11,5,Detroit,0.00%
2017,11,5,New England,3.23%
2017,11,5,Green Bay,2.56%
2017,11,5,Arizona,2.63%
2017,11,5,NY Giants,2.50%
2017,11,5,Las Vegas,0.00%
2017,11,5,Buffalo,4.76%
2017,11,5,Tennessee,4.88%
2017,11,5,Tampa Bay,0.00%
2017,10,29,Jacksonville,6.90%
2017,10,29,LA Chargers,19.23%
2017,10,29,Pittsburgh,8.33%
2017,10,29,Cincinnati,12.50%
2017,10,29,LA Rams,9.76%
2017,10,29,Dallas,11.11%
2017,10,29,Kansas City,4.76%
2017,10,29,Buffalo,6.98%
2017,10,29,Carolina,3.33%
2017,10,29,Houston,12.50%
2017,10,29,Green Bay,2.94%
2017,10,29,Washington,11.43%
2017,10,29,NY Giants,8.82%
2017,10,29,Baltimore,0.00%
2017,10,29,Chicago,6.90%
2017,10,29,Detroit,5.41%
2017,10,29,Philadelphia,0.00%
2017,10,29,New Orleans,10.81%
2017,10,29,Atlanta,4.26%
2017,10,29,Denver,13.33%
2017,10,29,Cleveland,11.11%
2017,10,29,Las Vegas,3.23%
2017,10,29,Arizona,5.26%
2017,10,29,Seattle,0.00%
2017,10,29,Indianapolis,2.08%
2017,10,29,New England,5.71%
2017,10,29,NY Jets,6.25%
2017,10,29,Miami,8.00%
2017,10,29,Minnesota,4.76%
2017,10,29,Tennessee,2.00%
2017,10,29,San Francisco,0.00%
2017,10,29,Tampa Bay,0.00%
2017,10,22,Jacksonville,3.57%
2017,10,22,Pittsburgh,5.00%
2017,10,22,LA Rams,9.76%
2017,10,22,Philadelphia,12.50%
2017,10,22,Carolina,10.71%
2017,10,22,Kansas City,11.54%
2017,10,22,Baltimore,6.67%
2017,10,22,Green Bay,9.68%
2017,10,22,Buffalo,15.79%
2017,10,22,Cincinnati,11.11%
2017,10,22,LA Chargers,5.56%
2017,10,22,Seattle,6.90%
2017,10,22,Atlanta,5.66%
2017,10,22,Las Vegas,14.29%
2017,10,22,Indianapolis,10.00%
2017,10,22,Detroit,13.51%
2017,10,22,Dallas,5.88%
2017,10,22,NY Giants,12.50%
2017,10,22,Chicago,6.06%
2017,10,22,Arizona,9.76%
2017,10,22,Washington,7.41%
2017,10,22,Tennessee,5.56%
2017,10,22,Houston,7.89%
2017,10,22,New England,2.17%
2017,10,22,Cleveland,5.56%
2017,10,22,New Orleans,4.88%
2017,10,22,Minnesota,5.41%
2017,10,22,Denver,3.85%
2017,10,22,NY Jets,0.00%
2017,10,22,San Francisco,0.00%
2017,10,22,Miami,2.50%
2017,10,22,Tampa Bay,2.17%
2017,10,15,Jacksonville,21.74%
2017,10,15,Pittsburgh,18.92%
2017,10,15,LA Rams,16.00%
2017,10,15,Baltimore,13.89%
