year,month,day,team,defensive_sack_percentage
2021,10,24,Seattle,2.44%
2021,10,24,Jacksonville,0.00%
2021,10,24,New Orleans,4.65%
2021,10,24,Kansas City,0.00%
2021,10,17,Chicago,7.89%
2021,10,17,Carolina,5.13%
2021,10,17,Minnesota,10.26%
2021,10,17,Cleveland,4.44%
2021,10,17,New England,9.38%
2021,10,17,Detroit,5.56%
2021,10,17,Buffalo,3.57%
2021,10,17,Denver,3.85%
2021,10,17,LA Rams,5.71%
2021,10,17,NY Jets,0.00%
2021,10,17,Arizona,6.45%
2021,10,17,Cincinnati,4.88%
2021,10,17,San Francisco,6.06%
2021,10,17,Indianapolis,4.44%
2021,10,17,LA Chargers,3.03%
2021,10,17,Baltimore,5.41%
2021,10,17,Las Vegas,8.70%
2021,10,17,Tennessee,5.71%
2021,10,17,Green Bay,7.32%
2021,10,17,Pittsburgh,5.00%
2021,10,17,Philadelphia,0.00%
2021,10,17,Atlanta,5.88%
2021,10,17,Jacksonville,12.00%
2021,10,17,Seattle,2.63%
2021,10,17,Houston,3.23%
2021,10,17,Tampa Bay,7.14%
2021,10,17,Miami,4.35%
2021,10,17,Washington,6.25%
2021,10,17,NY Giants,5.71%
2021,10,17,Dallas,0.00%
2021,10,17,Kansas City,0.00%
2021,10,17,New Orleans,4.65%
2021,10,10,Carolina,0.00%
2021,10,10,Chicago,9.52%
2021,10,10,Cleveland,5.00%
2021,10,10,Minnesota,8.33%
2021,10,10,Buffalo,12.50%
2021,10,10,NY Jets,12.50%
2021,10,10,Detroit,5.56%
2021,10,10,New England,2.27%
2021,10,10,Denver,7.50%
2021,10,10,Indianapolis,9.09%
2021,10,10,LA Rams,5.71%
2021,10,10,LA Chargers,10.53%
2021,10,10,Cincinnati,4.00%
2021,10,10,Arizona,0.00%
2021,10,10,Philadelphia,3.23%
2021,10,10,San Francisco,11.54%
2021,10,10,Baltimore,11.90%
2021,10,10,Tennessee,2.86%
2021,10,10,Las Vegas,4.88%
2021,10,10,Pittsburgh,7.69%
2021,10,10,Dallas,11.36%
2021,10,10,Seattle,2.63%
2021,10,10,Green Bay,4.76%
2021,10,10,Houston,3.13%
2021,10,10,Atlanta,2.94%
2021,10,10,Kansas City,5.88%
2021,10,10,Miami,5.88%
2021,10,10,Washington,2.33%
2021,10,10,NY Giants,0.00%
2021,10,10,Tampa Bay,8.70%
2021,10,10,Jacksonville,3.03%
2021,10,10,New Orleans,0.00%
2021,10,3,Carolina,12.50%
2021,10,3,Cleveland,31.03%
2021,10,3,Chicago,13.89%
2021,10,3,New England,12.50%
2021,10,3,Minnesota,5.88%
2021,10,3,Arizona,8.11%
2021,10,3,Detroit,11.43%
2021,10,3,Buffalo,4.00%
2021,10,3,Philadelphia,13.33%
2021,10,3,Denver,12.50%
2021,10,3,Cincinnati,4.00%
2021,10,3,Tennessee,5.13%
2021,10,3,LA Rams,5.17%
2021,10,3,NY Jets,7.41%
2021,10,3,Indianapolis,3.57%
2021,10,3,Seattle,2.56%
2021,10,3,Las Vegas,3.92%
2021,10,3,Houston,8.11%
2021,10,3,Atlanta,5.41%
2021,10,3,LA Chargers,4.35%
2021,10,3,San Francisco,2.94%
2021,10,3,Green Bay,9.09%
2021,10,3,NY Giants,7.69%
2021,10,3,Washington,0.00%
2021,10,3,New Orleans,3.77%
2021,10,3,Pittsburgh,0.00%
2021,10,3,Kansas City,2.56%
2021,10,3,Miami,6.52%
2021,10,3,Baltimore,6.06%
2021,10,3,Jacksonville,3.03%
2021,10,3,Dallas,4.88%
2021,10,3,Tampa Bay,2.56%
2021,9,26,Carolina,12.50%
2021,9,26,Minnesota,7.69%
2021,9,26,Chicago,14.29%
2021,9,26,Buffalo,12.00%
2021,9,26,Arizona,3.03%
2021,9,26,New England,10.81%
2021,9,26,Cincinnati,11.11%
2021,9,26,Tennessee,8.82%
2021,9,26,LA Rams,7.69%
2021,9,26,Seattle,6.98%
2021,9,26,Washington,11.11%
2021,9,26,Indianapolis,3.23%
2021,9,26,Detroit,10.00%
2021,9,26,Las Vegas,4.76%
2021,9,26,LA Chargers,6.90%
2021,9,26,San Francisco,7.69%
2021,9,26,NY Jets,9.09%
2021,9,26,Jacksonville,8.11%
2021,9,26,Pittsburgh,5.13%
2021,9,26,Houston,8.11%
2021,9,26,Atlanta,7.69%
2021,9,26,Kansas City,3.70%
2021,9,26,New Orleans,5.00%
2021,9,26,Philadelphia,0.00%
2021,9,26,Cleveland,3.33%
2021,9,26,Denver,2.94%
2021,9,26,NY Giants,2.13%
2021,9,26,Baltimore,0.00%
2021,9,26,Miami,2.94%
2021,9,26,Dallas,4.65%
2021,9,26,Tampa Bay,2.04%
2021,9,26,Green Bay,2.70%
2021,9,19,Minnesota,15.63%
2021,9,19,Arizona,14.29%
2021,9,19,Carolina,13.95%
2021,9,19,Indianapolis,11.54%
2021,9,19,Las Vegas,9.09%
2021,9,19,Philadelphia,7.89%
2021,9,19,Seattle,7.32%
2021,9,19,Washington,11.11%
2021,9,19,LA Rams,6.98%
2021,9,19,New England,6.90%
2021,9,19,Kansas City,6.67%
2021,9,19,Tennessee,5.88%
2021,9,19,Buffalo,5.88%
2021,9,19,Cincinnati,5.66%
2021,9,19,Pittsburgh,5.56%
2021,9,19,New Orleans,5.41%
2021,9,19,Cleveland,5.26%
2021,9,19,Denver,5.13%
2021,9,19,Baltimore,5.08%
2021,9,19,San Francisco,5.00%
2021,9,19,LA Chargers,4.55%
2021,9,19,Chicago,3.70%
2021,9,19,Detroit,3.70%
2021,9,19,NY Giants,2.13%
2021,9,19,Jacksonville,2.94%
2021,9,19,NY Jets,2.78%
2021,9,19,Atlanta,2.78%
2021,9,19,Miami,2.50%
2021,9,19,Houston,1.92%
2021,9,19,Tampa Bay,1.69%
2021,9,19,Green Bay,0.00%
2021,9,19,Dallas,0.00%
2021,9,12,Tampa Bay,1.69%
2021,9,12,Dallas,0.00%
2021,9,5,Pittsburgh,0.00%
2021,9,5,LA Rams,0.00%
2021,9,5,Philadelphia,8.57%
2021,9,5,Washington,6.98%
2021,9,5,Arizona,5.00%
2021,9,5,Green Bay,2.70%
2021,9,5,New Orleans,2.94%
2021,9,5,Miami,2.56%
2021,9,5,Denver,7.32%
2021,9,5,Tampa Bay,5.77%
2021,9,5,Indianapolis,5.41%
2021,9,5,Seattle,10.71%
2021,9,5,NY Giants,11.32%
2021,9,5,Baltimore,5.13%
2021,9,5,Houston,6.90%
2021,9,5,Buffalo,2.56%
2021,9,5,Chicago,2.50%
2021,9,5,Dallas,7.41%
2021,9,5,Kansas City,3.33%
2021,9,5,Cleveland,2.56%
2021,9,5,San Francisco,5.26%
2021,9,5,NY Jets,8.82%
2021,9,5,LA Chargers,3.03%
2021,9,5,Carolina,5.88%
2021,9,5,New England,8.11%
2021,9,5,Atlanta,2.38%
2021,9,5,Detroit,6.98%
2021,9,5,Minnesota,3.13%
2021,9,5,Tennessee,17.24%
2021,9,5,Las Vegas,4.65%
2021,9,5,Jacksonville,0.00%
2021,9,5,Cincinnati,0.00%
2021,2,28,Pittsburgh,0.00%
2021,2,28,LA Rams,0.00%
2021,2,28,Philadelphia,8.57%
2021,2,28,Washington,6.98%
2021,2,28,Arizona,5.00%
2021,2,28,Green Bay,2.70%
2021,2,28,New Orleans,2.94%
2021,2,28,Miami,2.56%
2021,2,28,Denver,7.32%
2021,2,28,Tampa Bay,5.77%
2021,2,28,Indianapolis,5.41%
2021,2,28,Seattle,10.71%
2021,2,28,NY Giants,11.32%
2021,2,28,Baltimore,5.13%
2021,2,28,Houston,6.90%
2021,2,28,Buffalo,2.56%
2021,2,28,Chicago,2.50%
2021,2,28,Dallas,7.41%
2021,2,28,Kansas City,3.33%
2021,2,28,Cleveland,2.56%
2021,2,28,San Francisco,5.26%
2021,2,28,NY Jets,8.82%
2021,2,28,LA Chargers,3.03%
2021,2,28,Carolina,5.88%
2021,2,28,New England,8.11%
2021,2,28,Atlanta,2.38%
2021,2,28,Detroit,6.98%
2021,2,28,Minnesota,3.13%
2021,2,28,Tennessee,17.24%
2021,2,28,Las Vegas,4.65%
2021,2,28,Jacksonville,0.00%
2021,2,28,Cincinnati,0.00%
2021,2,21,Pittsburgh,0.00%
2021,2,21,LA Rams,0.00%
2021,2,21,Philadelphia,8.57%
2021,2,21,Washington,6.98%
2021,2,21,Arizona,5.00%
2021,2,21,Green Bay,2.70%
2021,2,21,New Orleans,2.94%
2021,2,21,Miami,2.56%
2021,2,21,Denver,7.32%
2021,2,21,Tampa Bay,5.77%
2021,2,21,Indianapolis,5.41%
2021,2,21,Seattle,10.71%
2021,2,21,NY Giants,11.32%
2021,2,21,Baltimore,5.13%
2021,2,21,Houston,6.90%
2021,2,21,Buffalo,2.56%
2021,2,21,Chicago,2.50%
2021,2,21,Dallas,7.41%
2021,2,21,Kansas City,3.33%
2021,2,21,Cleveland,2.56%
2021,2,21,San Francisco,5.26%
2021,2,21,NY Jets,8.82%
2021,2,21,LA Chargers,3.03%
2021,2,21,Carolina,5.88%
2021,2,21,New England,8.11%
2021,2,21,Atlanta,2.38%
2021,2,21,Detroit,6.98%
2021,2,21,Minnesota,3.13%
2021,2,21,Tennessee,17.24%
2021,2,21,Las Vegas,4.65%
2021,2,21,Jacksonville,0.00%
2021,2,21,Cincinnati,0.00%
