Date,team,opponent,opponent_rank
2021-11-14,Pittsburgh,Chicago,28
2021-11-14,Miami,Baltimore,13
2021-11-14,Dallas,Atlanta,26
2021-11-14,Buffalo,NY Jets,30
2021-11-14,Tennessee,New Orleans,7
2021-11-14,Washington,Tampa Bay,1
2021-11-14,Pittsburgh,Detroit,31
2021-11-14,New England,Cleveland,11
2021-11-14,Indianapolis,Jacksonville,29
2021-11-14,Minnesota,LA Chargers,16
2021-11-14,Carolina,Arizona,2
2021-11-14,Philadelphia,Denver,14
2021-11-14,Green Bay,Seattle,12
2021-11-14,Kansas City,Las Vegas,21
2021-11-21,San Francisco,LA Rams,10
2021-11-21,New England,Atlanta,29
2021-11-21,Houston,Tennessee,8
2021-11-21,San Francisco,Jacksonville,28
2021-11-21,Indianapolis,Buffalo,1
2021-11-21,Philadelphia,New Orleans,7
2021-11-21,Baltimore,Chicago,27
2021-11-21,Minnesota,Green Bay,9
2021-11-21,Miami,NY Jets,31
2021-11-21,Washington,Carolina,20
2021-11-21,Cleveland,Detroit,30
2021-11-21,Cincinnati,Las Vegas,23
2021-11-21,Kansas City,Dallas,3
2021-11-21,Arizona,Seattle,14
2021-11-21,LA Chargers,Pittsburgh,21
2020-09-13,Kansas City,Houston,20
2020-09-13,Seattle,Atlanta,17
2020-09-13,Buffalo,NY Jets,29
2020-09-13,Washington,Philadelphia,9
2020-09-13,Green Bay,Minnesota,11
2020-09-13,Baltimore,Cleveland,18
2020-09-13,New England,Miami,30
2020-09-13,Jacksonville,Indianapolis,14
2020-09-13,Las Vegas,Carolina,26
2020-09-13,Chicago,Detroit,25
2020-09-13,LA Chargers,Cincinnati,28
2020-09-13,New Orleans,Tampa Bay,5
2020-09-13,Arizona,San Francisco,4
2020-09-13,LA Rams,Dallas,6
2020-09-20,Pittsburgh,NY Giants,27
2020-09-20,Tennessee,Denver,22
2020-09-20,Cleveland,Cincinnati,28
2020-09-20,San Francisco,NY Jets,29
2020-09-20,Pittsburgh,Denver,22
2020-09-20,Tampa Bay,Carolina,26
2020-09-20,Green Bay,Detroit,25
2020-09-20,Chicago,NY Giants,27
2020-09-20,Tennessee,Jacksonville,31
2020-09-20,Dallas,Atlanta,21
2020-09-20,Buffalo,Miami,32
2020-09-20,LA Rams,Philadelphia,15
2020-09-20,Indianapolis,Minnesota,14
2020-09-20,Arizona,Washington,30
2020-09-20,Baltimore,Houston,18
2020-09-20,Kansas City,LA Chargers,19
2020-09-20,Seattle,New England,9
2020-09-27,Las Vegas,New Orleans,3
2020-09-27,Miami,Jacksonville,32
2020-09-27,Chicago,Atlanta,19
2020-09-27,Buffalo,LA Rams,8
2020-09-27,Philadelphia,Cincinnati,29
2020-09-27,Tennessee,Minnesota,20
2020-09-27,New England,Las Vegas,16
2020-09-27,San Francisco,NY Giants,27
2020-09-27,Pittsburgh,Houston,22
2020-09-27,Cleveland,Washington,30
2020-09-27,Indianapolis,NY Jets,31
2020-09-27,Carolina,LA Chargers,17
2020-09-27,Seattle,Dallas,10
2020-09-27,Detroit,Arizona,15
2020-09-27,Tampa Bay,Denver,21
2020-09-27,Green Bay,New Orleans,3
2020-10-04,Kansas City,Baltimore,2
2020-10-04,Denver,NY Jets,32
2020-10-04,Carolina,Arizona,16
2020-10-04,Baltimore,Washington,31
2020-10-04,Minnesota,Houston,22
2020-10-04,Cleveland,Dallas,12
2020-10-04,New Orleans,Detroit,25
2020-10-04,Indianapolis,Chicago,15
2020-10-04,Tampa Bay,LA Chargers,18
2020-10-04,Cincinnati,Jacksonville,30
2020-10-04,Seattle,Miami,26
2020-10-04,LA Rams,NY Giants,29
2020-10-04,Buffalo,Las Vegas,17
2020-10-04,Philadelphia,San Francisco,3
2020-10-11,Kansas City,New England,9
2020-10-11,Green Bay,Atlanta,22
2020-10-11,Chicago,Tampa Bay,5
2020-10-11,Carolina,Atlanta,22
2020-10-11,Arizona,NY Jets,32
2020-10-11,Baltimore,Cincinnati,28
2020-10-11,Las Vegas,Kansas City,1
2020-10-11,Pittsburgh,Philadelphia,21
2020-10-11,LA Rams,Washington,31
2020-10-11,Houston,Jacksonville,30
2020-10-11,Miami,San Francisco,4
2020-10-11,Dallas,NY Giants,29
2020-10-11,Cleveland,Indianapolis,8
2020-10-11,Seattle,Minnesota,17
2020-10-18,New Orleans,LA Chargers,21
2020-10-18,Tennessee,Buffalo,16
2020-10-18,Detroit,Jacksonville,30
2020-10-18,Denver,New England,8
2020-10-18,Baltimore,Philadelphia,25
2020-10-18,Tennessee,Houston,23
2020-10-18,Pittsburgh,Cleveland,13
2020-10-18,Atlanta,Minnesota,15
2020-10-18,NY Giants,Washington,31
2020-10-18,Chicago,Carolina,22
2020-10-18,Indianapolis,Cincinnati,28
2020-10-18,Miami,NY Jets,32
2020-10-18,Tampa Bay,Green Bay,3
2020-10-18,San Francisco,LA Rams,7
2020-10-25,Kansas City,Buffalo,18
2020-10-25,Arizona,Dallas,27
2020-10-25,Philadelphia,NY Giants,29
2020-10-25,Pittsburgh,Tennessee,8
2020-10-25,Green Bay,Houston,25
2020-10-25,Detroit,Atlanta,21
2020-10-25,Buffalo,NY Jets,32
2020-10-25,Washington,Dallas,27
2020-10-25,New Orleans,Carolina,20
2020-10-25,Cleveland,Cincinnati,28
2020-10-25,Tampa Bay,Las Vegas,15
2020-10-25,San Francisco,New England,12
2020-10-25,Kansas City,Denver,19
2020-10-25,LA Chargers,Jacksonville,31
2020-10-25,Arizona,Seattle,6
2020-11-01,LA Rams,Chicago,14
2020-11-01,Atlanta,Carolina,23
2020-11-01,Minnesota,Green Bay,5
2020-11-01,Miami,LA Rams,8
2020-11-01,Pittsburgh,Baltimore,2
2020-11-01,Indianapolis,Detroit,19
2020-11-01,Buffalo,New England,17
2020-11-01,Cincinnati,Tennessee,11
2020-11-01,Las Vegas,Cleveland,20
2020-11-01,Kansas City,NY Jets,32
2020-11-01,Denver,LA Chargers,15
2020-11-01,Seattle,San Francisco,6
2020-11-01,New Orleans,Chicago,14
2020-11-01,Philadelphia,Dallas,28
2020-11-08,Tampa Bay,NY Giants,28
2020-11-08,Green Bay,San Francisco,9
2020-11-08,Baltimore,Indianapolis,8
2020-11-08,Minnesota,Detroit,26
2020-11-08,Houston,Jacksonville,31
2020-11-08,Atlanta,Denver,24
2020-11-08,Buffalo,Seattle,7
2020-11-08,NY Giants,Washington,30
2020-11-08,Kansas City,Carolina,22
2020-11-08,Tennessee,Chicago,14
2020-11-08,Las Vegas,LA Chargers,15
2020-11-08,Miami,Arizona,11
2020-11-08,Pittsburgh,Dallas,29
2020-11-08,New Orleans,Tampa Bay,3
2020-11-15,New England,NY Jets,32
2020-11-15,Indianapolis,Tennessee,14
2020-11-15,Detroit,Washington,30
2020-11-15,Green Bay,Jacksonville,31
2020-11-15,Cleveland,Houston,24
2020-11-15,Tampa Bay,Carolina,19
2020-11-15,NY Giants,Philadelphia,21
2020-11-15,Las Vegas,Denver,25
2020-11-15,Miami,LA Chargers,18
2020-11-15,Arizona,Buffalo,13
2020-11-15,Pittsburgh,Cincinnati,27
2020-11-15,New Orleans,San Francisco,10
2020-11-15,LA Rams,Seattle,8
2020-11-15,New England,Baltimore,1
2020-11-22,Minnesota,Chicago,18
2020-11-22,Seattle,Arizona,12
2020-11-22,Tennessee,Baltimore,2
2020-11-22,Houston,New England,17
2020-11-22,New Orleans,Atlanta,20
2020-11-22,Washington,Cincinnati,28
2020-11-22,Pittsburgh,Jacksonville,31
2020-11-22,Cleveland,Philadelphia,21
2020-11-22,Carolina,Detroit,25
2020-11-22,LA Chargers,NY Jets,32
2020-11-22,Denver,Miami,11
2020-11-22,Indianapolis,Green Bay,6
2020-11-22,Dallas,Minnesota,15
2020-11-22,Kansas City,Las Vegas,13
2020-11-29,LA Rams,Tampa Bay,5
2020-11-29,Houston,Detroit,29
2020-11-29,Washington,Dallas,30
2020-11-29,Atlanta,Las Vegas,11
2020-11-29,Buffalo,LA Chargers,20
2020-11-29,NY Giants,Cincinnati,28
2020-11-29,Cleveland,Jacksonville,31
2020-11-29,Miami,NY Jets,32
2020-11-29,Tennessee,Indianapolis,8
2020-11-29,New England,Arizona,13
2020-11-29,Minnesota,Carolina,19
2020-11-29,New Orleans,Denver,25
2020-11-29,San Francisco,LA Rams,7
2020-11-29,Kansas City,Tampa Bay,5
2020-11-29,Green Bay,Chicago,18
2020-12-06,Seattle,Philadelphia,23
2020-12-06,Pittsburgh,Baltimore,3
2020-12-06,Indianapolis,Houston,21
2020-12-06,Las Vegas,NY Jets,32
2020-12-06,Detroit,Chicago,20
2020-12-06,Minnesota,Jacksonville,31
2020-12-06,New Orleans,Atlanta,15
2020-12-06,Miami,Cincinnati,29
2020-12-06,Cleveland,Tennessee,10
2020-12-06,LA Rams,Arizona,13
2020-12-06,NY Giants,Seattle,8
2020-12-06,New England,LA Chargers,22
2020-12-06,Green Bay,Philadelphia,23
2020-12-06,Kansas City,Denver,27
2020-12-13,Washington,Pittsburgh,4
2020-12-13,Buffalo,San Francisco,10
2020-12-13,Baltimore,Dallas,30
2020-12-13,LA Rams,New England,14
2020-12-13,Dallas,Cincinnati,29
2020-12-13,Kansas City,Miami,12
2020-12-13,Tampa Bay,Minnesota,17
2020-12-13,Arizona,NY Giants,25
2020-12-13,Denver,Carolina,19
2020-12-13,Chicago,Houston,22
2020-12-13,Tennessee,Jacksonville,31
2020-12-13,Indianapolis,Las Vegas,18
2020-12-13,Seattle,NY Jets,32
2020-12-13,Philadelphia,New Orleans,2
2020-12-13,LA Chargers,Atlanta,16
2020-12-13,Green Bay,Detroit,28
2020-12-13,Washington,San Francisco,10
2020-12-13,Buffalo,Pittsburgh,4
2020-12-20,Baltimore,Cleveland,19
2020-12-20,LA Chargers,Las Vegas,23
2020-12-20,Buffalo,Denver,29
2020-12-20,Green Bay,Carolina,22
2020-12-20,Indianapolis,Houston,24
2020-12-20,Dallas,San Francisco,13
2020-12-20,Chicago,Minnesota,18
2020-12-20,Baltimore,Jacksonville,31
2020-12-20,Tampa Bay,Atlanta,16
2020-12-20,Tennessee,Detroit,28
2020-12-20,Seattle,Washington,21
2020-12-20,Miami,New England,15
2020-12-20,Arizona,Philadelphia,20
2020-12-20,NY Jets,LA Rams,6
2020-12-20,Kansas City,New Orleans,3
2020-12-20,Cleveland,NY Giants,25
2020-12-27,Cincinnati,Pittsburgh,5
2020-12-27,New Orleans,Minnesota,19
2020-12-27,Tampa Bay,Detroit,30
2020-12-27,San Francisco,Arizona,14
2020-12-27,Miami,Las Vegas,22
2020-12-27,Kansas City,Atlanta,16
2020-12-27,Cincinnati,Houston,24
2020-12-27,NY Jets,Cleveland,18
2020-12-27,Pittsburgh,Indianapolis,10
2020-12-27,Baltimore,NY Giants,27
2020-12-27,Chicago,Jacksonville,31
2020-12-27,LA Chargers,Denver,28
2020-12-27,Carolina,Washington,23
2020-12-27,Seattle,LA Rams,7
2020-12-27,Dallas,Philadelphia,20
2020-12-27,Green Bay,Tennessee,11
2021-01-03,Buffalo,New England,17
2021-01-03,NY Giants,Dallas,24
2021-01-03,Tampa Bay,Atlanta,15
2021-01-03,New England,NY Jets,31
2021-01-03,Buffalo,Miami,11
2021-01-03,Minnesota,Detroit,30
2021-01-03,Baltimore,Cincinnati,29
2021-01-03,Cleveland,Pittsburgh,7
2021-01-03,Indianapolis,Jacksonville,32
2021-01-03,LA Rams,Arizona,14
2021-01-03,New Orleans,Carolina,18
2021-01-03,Seattle,San Francisco,13
2021-01-03,Green Bay,Chicago,16
2021-01-03,LA Chargers,Kansas City,1
2021-01-03,Las Vegas,Denver,28
2021-01-03,Tennessee,Houston,26
2021-01-03,Washington,Philadelphia,23
2021-01-10,Buffalo,Indianapolis,10
2021-01-10,LA Rams,Seattle,9
2021-01-10,Tampa Bay,Washington,22
2021-01-10,Baltimore,Tennessee,11
2021-01-10,New Orleans,Chicago,16
2021-01-10,Cleveland,Pittsburgh,8
2021-01-17,Green Bay,LA Rams,7
2021-01-17,Buffalo,Baltimore,2
2021-01-17,Kansas City,Cleveland,18
2021-01-17,Tampa Bay,New Orleans,1
2021-01-24,Tampa Bay,Green Bay,5
2021-01-24,Kansas City,Buffalo,6
2021-02-07,Tampa Bay,Kansas City,4
2019-09-08,Green Bay,Chicago,14
2019-09-08,Minnesota,Atlanta,9
2019-09-08,Buffalo,NY Jets,25
2019-09-08,Philadelphia,Washington,29
2019-09-08,Tennessee,Cleveland,16
2019-09-08,LA Rams,Carolina,17
2019-09-08,Kansas City,Jacksonville,19
2019-09-08,Baltimore,Miami,32
2019-09-08,Seattle,Cincinnati,31
2019-09-08,LA Chargers,Indianapolis,21
2019-09-08,Detroit,Arizona,30
2019-09-08,Dallas,NY Giants,28
2019-09-08,San Francisco,Tampa Bay,23
2019-09-08,New England,Pittsburgh,8
2019-09-15,New Orleans,Houston,11
2019-09-15,Las Vegas,Denver,25
2019-09-15,Tampa Bay,Carolina,20
2019-09-15,Baltimore,Arizona,30
2019-09-15,Dallas,Washington,28
2019-09-15,Seattle,Pittsburgh,17
2019-09-15,Green Bay,Minnesota,9
2019-09-15,Houston,Jacksonville,19
2019-09-15,San Francisco,Cincinnati,29
2019-09-15,Indianapolis,Tennessee,7
2019-09-15,New England,Miami,32
2019-09-15,Buffalo,NY Giants,31
2019-09-15,Detroit,LA Chargers,5
2019-09-15,Kansas City,Las Vegas,27
2019-09-15,Chicago,Denver,25
2019-09-15,LA Rams,New Orleans,4
2019-09-15,Atlanta,Philadelphia,10
2019-09-22,Cleveland,NY Jets,28
2019-09-22,Jacksonville,Tennessee,11
2019-09-22,Indianapolis,Atlanta,15
2019-09-22,New England,NY Jets,28
2019-09-22,Buffalo,Cincinnati,30
2019-09-22,Green Bay,Denver,25
2019-09-22,Detroit,Philadelphia,10
2019-09-22,Kansas City,Baltimore,4
2019-09-22,Minnesota,Las Vegas,26
2019-09-22,Dallas,Miami,32
2019-09-22,NY Giants,Tampa Bay,23
2019-09-22,Carolina,Arizona,27
2019-09-22,New Orleans,Seattle,16
2019-09-22,San Francisco,Pittsburgh,24
2019-09-22,Houston,LA Chargers,6
2019-09-22,LA Rams,Cleveland,19
2019-09-29,Chicago,Washington,29
2019-09-29,Philadelphia,Green Bay,8
2019-09-29,NY Giants,Washington,29
2019-09-29,Carolina,Houston,9
2019-09-29,Tennessee,Atlanta,16
2019-09-29,New England,Buffalo,22
2019-09-29,Kansas City,Detroit,20
2019-09-29,Cleveland,Baltimore,4
2019-09-29,Las Vegas,Indianapolis,18
2019-09-29,LA Chargers,Miami,32
2019-09-29,Tampa Bay,LA Rams,3
2019-09-29,Seattle,Arizona,28
2019-09-29,Chicago,Minnesota,5
2019-09-29,Jacksonville,Denver,25
2019-09-29,New Orleans,Dallas,7
2019-10-06,Pittsburgh,Cincinnati,29
2019-10-06,Seattle,LA Rams,3
2019-10-06,Philadelphia,NY Jets,27
2019-10-06,Minnesota,NY Giants,28
2019-10-06,Houston,Atlanta,22
2019-10-06,Buffalo,Tennessee,5
2019-10-06,Baltimore,Pittsburgh,21
2019-10-06,Arizona,Cincinnati,29
2019-10-06,New Orleans,Tampa Bay,19
2019-10-06,New England,Washington,31
2019-10-06,Carolina,Jacksonville,18
2019-10-06,Las Vegas,Chicago,9
2019-10-06,Denver,LA Chargers,11
2019-10-06,Green Bay,Dallas,7
2019-10-06,Indianapolis,Kansas City,2
2019-10-13,San Francisco,Cleveland,23
2019-10-13,New England,NY Giants,27
2019-10-13,Carolina,Tampa Bay,20
2019-10-13,Washington,Miami,32
2019-10-13,Houston,Kansas City,2
2019-10-13,Minnesota,Philadelphia,9
2019-10-13,Baltimore,Cincinnati,30
2019-10-13,New Orleans,Jacksonville,17
2019-10-13,Seattle,Cleveland,23
2019-10-13,San Francisco,LA Rams,6
2019-10-13,Arizona,Atlanta,25
2019-10-13,NY Jets,Dallas,14
2019-10-13,Denver,Tennessee,12
2019-10-13,Pittsburgh,LA Chargers,15
2019-10-20,Green Bay,Detroit,21
2019-10-20,Kansas City,Denver,24
2019-10-20,San Francisco,Washington,31
2019-10-20,Buffalo,Miami,32
2019-10-20,Minnesota,Detroit,21
2019-10-20,Indianapolis,Houston,5
2019-10-20,Arizona,NY Giants,28
2019-10-20,LA Rams,Atlanta,25
2019-10-20,Green Bay,Las Vegas,26
2019-10-20,Jacksonville,Cincinnati,30
2019-10-20,Tennessee,LA Chargers,17
2019-10-20,New Orleans,Chicago,11
2019-10-20,Baltimore,Seattle,13
2019-10-20,Dallas,Philadelphia,12
2019-10-27,New England,NY Jets,30
2019-10-27,Minnesota,Washington,31
2019-10-27,Philadelphia,Buffalo,21
2019-10-27,Detroit,NY Giants,28
2019-10-27,Indianapolis,Denver,24
2019-10-27,LA Chargers,Chicago,12
2019-10-27,Jacksonville,NY Jets,30
2019-10-27,New Orleans,Arizona,27
2019-10-27,Seattle,Atlanta,26
2019-10-27,Tennessee,Tampa Bay,19
2019-10-27,LA Rams,Cincinnati,29
2019-10-27,San Francisco,Carolina,10
2019-10-27,New England,Cleveland,23
2019-10-27,Houston,Las Vegas,25
2019-10-27,Green Bay,Kansas City,3
2019-11-03,Pittsburgh,Miami,32
2019-11-03,San Francisco,Arizona,27
2019-11-03,Houston,Jacksonville,16
2019-11-03,Carolina,Tennessee,18
2019-11-03,Philadelphia,Chicago,12
2019-11-03,Miami,NY Jets,30
2019-11-03,Buffalo,Washington,31
2019-11-03,Pittsburgh,Indianapolis,19
2019-11-03,Kansas City,Minnesota,4
2019-11-03,Las Vegas,Detroit,22
2019-11-03,Seattle,Tampa Bay,20
2019-11-03,Denver,Cleveland,21
2019-11-03,LA Chargers,Green Bay,5
2019-11-03,Baltimore,New England,1
2019-11-10,Dallas,NY Giants,29
2019-11-10,Las Vegas,LA Chargers,11
2019-11-10,Atlanta,New Orleans,7
2019-11-10,Cleveland,Buffalo,24
2019-11-10,Baltimore,Cincinnati,28
2019-11-10,Chicago,Detroit,22
2019-11-10,Tennessee,Kansas City,3
2019-11-10,Tampa Bay,Arizona,27
2019-11-10,NY Jets,NY Giants,29
2019-11-10,Miami,Indianapolis,17
2019-11-10,Pittsburgh,LA Rams,6
2019-11-10,Green Bay,Carolina,14
2019-11-10,Minnesota,Dallas,10
2019-11-17,Seattle,San Francisco,2
2019-11-17,Cleveland,Pittsburgh,17
2019-11-17,New Orleans,Tampa Bay,21
2019-11-17,Dallas,Detroit,22
2019-11-17,NY Jets,Washington,30
2019-11-17,Atlanta,Carolina,14
2019-11-17,Buffalo,Miami,32
