Date,team,opponent,opponent_rank
2010-11-07,Green Bay,Dallas,25
2010-11-14,Pittsburgh,Cincinnati,22
2010-11-14,Atlanta,Baltimore,11
2010-11-14,NY Jets,Cleveland,16
2010-11-14,Buffalo,Detroit,15
2010-11-14,Tampa Bay,Carolina,32
2010-11-14,Chicago,Minnesota,18
2010-11-14,Indianapolis,Cincinnati,22
2010-11-14,Miami,Tennessee,1
2010-11-14,Jacksonville,Houston,23
2010-11-14,Denver,Kansas City,10
2010-11-14,Seattle,Arizona,28
2010-11-14,Dallas,NY Giants,5
2010-11-14,San Francisco,LA Rams,21
2010-11-14,New England,Pittsburgh,3
2010-11-21,Philadelphia,Washington,25
2010-11-21,Chicago,Miami,19
2010-11-21,Buffalo,Cincinnati,21
2010-11-21,Pittsburgh,Las Vegas,11
2010-11-21,Dallas,Detroit,15
2010-11-21,Washington,Tennessee,2
2010-11-21,Kansas City,Arizona,31
2010-11-21,NY Jets,Houston,24
2010-11-21,Jacksonville,Cleveland,17
2010-11-21,Baltimore,Carolina,32
2010-11-21,Green Bay,Minnesota,18
2010-11-21,New Orleans,Seattle,23
2010-11-21,Atlanta,LA Rams,20
2010-11-21,Tampa Bay,San Francisco,26
2010-11-21,New England,Indianapolis,6
2010-11-21,Philadelphia,NY Giants,12
2010-11-28,LA Chargers,Denver,29
2010-11-28,New England,Detroit,17
2010-11-28,New Orleans,Dallas,22
2010-11-28,NY Jets,Cincinnati,25
2010-11-28,Minnesota,Washington,20
2010-11-28,Atlanta,Green Bay,1
2010-11-28,Houston,Tennessee,7
2010-11-28,Pittsburgh,Buffalo,26
2010-11-28,NY Giants,Jacksonville,27
2010-11-28,Cleveland,Carolina,32
2010-11-28,Miami,Las Vegas,15
2010-11-28,Kansas City,Seattle,28
2010-11-28,Baltimore,Tampa Bay,18
2010-11-28,Chicago,Philadelphia,5
2010-11-28,LA Rams,Denver,29
2010-11-28,LA Chargers,Indianapolis,9
2010-12-05,San Francisco,Arizona,31
2010-12-05,Philadelphia,Houston,20
2010-12-05,NY Giants,Washington,22
2010-12-05,Green Bay,San Francisco,27
2010-12-05,Cleveland,Miami,15
2010-12-05,Kansas City,Denver,29
2010-12-05,Chicago,Detroit,18
2010-12-05,Jacksonville,Tennessee,9
2010-12-05,New Orleans,Cincinnati,26
2010-12-05,Minnesota,Buffalo,25
2010-12-05,Las Vegas,LA Chargers,4
2010-12-05,LA Rams,Arizona,31
2010-12-05,Dallas,Indianapolis,12
2010-12-05,Seattle,Carolina,32
2010-12-05,Atlanta,Tampa Bay,19
2010-12-05,Pittsburgh,Baltimore,8
2010-12-12,New England,NY Jets,9
2010-12-12,Indianapolis,Tennessee,14
2010-12-12,Pittsburgh,Cincinnati,25
2010-12-12,Buffalo,Cleveland,16
2010-12-12,Jacksonville,Las Vegas,15
2010-12-12,Atlanta,Carolina,32
2010-12-12,Detroit,Green Bay,1
2010-12-12,Tampa Bay,Washington,26
2010-12-12,New Orleans,LA Rams,23
2010-12-12,San Francisco,Seattle,28
2010-12-12,Arizona,Denver,30
2010-12-12,LA Chargers,Kansas City,12
2010-12-12,Miami,NY Jets,9
2010-12-12,New England,Chicago,11
2010-12-12,Philadelphia,Dallas,22
2010-12-19,NY Giants,Minnesota,22
2010-12-19,Baltimore,Houston,20
2010-12-19,LA Chargers,San Francisco,28
2010-12-19,Kansas City,LA Rams,24
2010-12-19,Buffalo,Miami,16
2010-12-19,Cincinnati,Cleveland,17
2010-12-19,Tennessee,Houston,20
2010-12-19,Indianapolis,Jacksonville,21
2010-12-19,Baltimore,New Orleans,9
2010-12-19,Dallas,Washington,26
2010-12-19,Philadelphia,NY Giants,8
2010-12-19,Detroit,Tampa Bay,19
2010-12-19,Carolina,Arizona,31
2010-12-19,Atlanta,Seattle,29
2010-12-19,NY Jets,Pittsburgh,3
2010-12-19,Las Vegas,Denver,30
2010-12-19,New England,Green Bay,2
2010-12-26,Chicago,Minnesota,25
2010-12-26,Pittsburgh,Carolina,32
2010-12-26,Arizona,Dallas,22
2010-12-26,LA Rams,San Francisco,28
2010-12-26,New England,Buffalo,23
2010-12-26,Chicago,NY Jets,10
2010-12-26,Baltimore,Cleveland,18
2010-12-26,Detroit,Miami,16
2010-12-26,Washington,Jacksonville,21
2010-12-26,Kansas City,Tennessee,13
2010-12-26,Cincinnati,LA Chargers,3
2010-12-26,Indianapolis,Las Vegas,15
2010-12-26,Denver,Houston,20
2010-12-26,Green Bay,NY Giants,9
2010-12-26,Tampa Bay,Seattle,29
2011-01-02,New Orleans,Atlanta,4
2011-01-02,Minnesota,Philadelphia,7
2011-01-02,Tampa Bay,New Orleans,8
2011-01-02,Pittsburgh,Cleveland,19
2011-01-02,Las Vegas,Kansas City,12
2011-01-02,New England,Miami,18
2011-01-02,Baltimore,Cincinnati,23
2011-01-02,NY Jets,Buffalo,28
2011-01-02,Atlanta,Carolina,32
2011-01-02,Detroit,Minnesota,21
2011-01-02,San Francisco,Arizona,31
2011-01-02,Green Bay,Chicago,11
2011-01-02,Houston,Jacksonville,24
2011-01-02,Dallas,Philadelphia,7
2011-01-02,LA Chargers,Denver,30
2011-01-02,NY Giants,Washington,26
2011-01-02,Indianapolis,Tennessee,14
2011-01-02,Seattle,LA Rams,25
2011-01-09,Seattle,New Orleans,10
2011-01-09,NY Jets,Indianapolis,11
2011-01-09,Baltimore,Kansas City,15
2011-01-09,Green Bay,Philadelphia,8
2011-01-16,Pittsburgh,Baltimore,4
2011-01-16,Green Bay,Atlanta,6
2011-01-16,Chicago,Seattle,29
2011-01-16,NY Jets,New England,1
2011-01-23,Green Bay,Chicago,9
2011-01-23,Pittsburgh,NY Jets,6
2011-02-06,Green Bay,Pittsburgh,3
2009-09-13,Pittsburgh,Tennessee,10
2009-09-13,Denver,Cincinnati,4
2009-09-13,Baltimore,Kansas City,12
2009-09-13,Indianapolis,Jacksonville,30
2009-09-13,Dallas,Tampa Bay,26
2009-09-13,New Orleans,Detroit,8
2009-09-13,NY Jets,Houston,31
2009-09-13,Minnesota,Cleveland,5
2009-09-13,Philadelphia,Carolina,28
2009-09-13,Atlanta,Miami,15
2009-09-13,San Francisco,Arizona,23
2009-09-13,NY Giants,Washington,29
2009-09-13,Seattle,LA Rams,14
2009-09-13,Green Bay,Chicago,3
2009-09-20,New England,Buffalo,14
2009-09-20,LA Chargers,Las Vegas,22
2009-09-20,Las Vegas,Kansas City,26
2009-09-20,NY Jets,New England,19
2009-09-20,Cincinnati,Green Bay,12
2009-09-20,Atlanta,Carolina,32
2009-09-20,Washington,LA Rams,31
2009-09-20,Arizona,Jacksonville,15
2009-09-20,Houston,Tennessee,16
2009-09-20,Minnesota,Detroit,27
2009-09-20,New Orleans,Philadelphia,1
2009-09-20,Buffalo,Tampa Bay,28
2009-09-20,San Francisco,Seattle,2
2009-09-20,Denver,Cleveland,29
2009-09-20,Chicago,Pittsburgh,17
2009-09-20,Baltimore,LA Chargers,11
2009-09-20,NY Giants,Dallas,5
2009-09-27,Indianapolis,Miami,26
2009-09-27,NY Giants,Tampa Bay,29
2009-09-27,Green Bay,LA Rams,28
2009-09-27,New England,Atlanta,11
2009-09-27,Detroit,Washington,21
2009-09-27,Baltimore,Cleveland,31
2009-09-27,Philadelphia,Kansas City,27
2009-09-27,Minnesota,San Francisco,5
2009-09-27,NY Jets,Tennessee,23
2009-09-27,Jacksonville,Houston,24
2009-09-27,New Orleans,Buffalo,10
2009-09-27,Chicago,Seattle,7
2009-09-27,Denver,Las Vegas,18
2009-09-27,LA Chargers,Miami,26
2009-09-27,Cincinnati,Pittsburgh,17
2009-09-27,Indianapolis,Arizona,8
2009-10-04,Dallas,Carolina,29
2009-10-04,Washington,Tampa Bay,31
2009-10-04,NY Giants,Kansas City,28
2009-10-04,Houston,Las Vegas,25
2009-10-04,New England,Baltimore,3
2009-10-04,Chicago,Detroit,26
2009-10-04,Cincinnati,Cleveland,32
2009-10-04,Indianapolis,Seattle,16
2009-10-04,Jacksonville,Tennessee,22
2009-10-04,New Orleans,NY Jets,7
2009-10-04,Miami,Buffalo,20
2009-10-04,Denver,Dallas,10
2009-10-04,San Francisco,LA Rams,30
2009-10-04,Pittsburgh,LA Chargers,15
2009-10-11,Minnesota,Green Bay,14
2009-10-11,Minnesota,LA Rams,32
2009-10-11,Dallas,Kansas City,27
2009-10-11,Cleveland,Buffalo,25
2009-10-11,Philadelphia,Tampa Bay,30
2009-10-11,NY Giants,Las Vegas,28
2009-10-11,Pittsburgh,Detroit,26
2009-10-11,Cincinnati,Baltimore,6
2009-10-11,Carolina,Washington,23
2009-10-11,Atlanta,San Francisco,3
2009-10-11,Arizona,Houston,22
2009-10-11,Denver,New England,12
2009-10-11,Seattle,Jacksonville,13
2009-10-11,Indianapolis,Tennessee,24
2009-10-18,Miami,NY Jets,12
2009-10-18,Carolina,Tampa Bay,30
2009-10-18,Pittsburgh,Cleveland,29
2009-10-18,Green Bay,Detroit,27
2009-10-18,Houston,Cincinnati,13
2009-10-18,New Orleans,NY Giants,2
2009-10-18,Jacksonville,LA Rams,32
2009-10-18,Kansas City,Washington,22
2009-10-18,Minnesota,Baltimore,7
2009-10-18,Arizona,Seattle,10
2009-10-18,Las Vegas,Philadelphia,8
2009-10-18,New England,Tennessee,26
2009-10-18,Buffalo,NY Jets,12
2009-10-18,Atlanta,Chicago,9
2009-10-25,Denver,LA Chargers,21
2009-10-25,Indianapolis,LA Rams,32
2009-10-25,LA Chargers,Kansas City,26
2009-10-25,Green Bay,Cleveland,27
2009-10-25,Pittsburgh,Minnesota,6
2009-10-25,Houston,San Francisco,14
2009-10-25,New England,Tampa Bay,30
2009-10-25,Buffalo,Carolina,25
2009-10-25,NY Jets,Las Vegas,28
2009-10-25,New Orleans,Miami,17
2009-10-25,Dallas,Atlanta,7
2009-10-25,Cincinnati,Chicago,11
2009-10-25,Arizona,NY Giants,5
2009-11-01,Philadelphia,Washington,24
2009-11-01,Chicago,Cleveland,28
2009-11-01,Baltimore,Denver,4
2009-11-01,Miami,NY Jets,6
2009-11-01,Houston,Buffalo,22
2009-11-01,Dallas,Seattle,19
2009-11-01,LA Rams,Detroit,26
2009-11-01,Indianapolis,San Francisco,17
2009-11-01,Philadelphia,NY Giants,8
2009-11-01,Tennessee,Jacksonville,23
2009-11-01,LA Chargers,Las Vegas,31
2009-11-01,Carolina,Arizona,12
2009-11-01,Minnesota,Green Bay,5
2009-11-08,New Orleans,Atlanta,10
2009-11-08,Indianapolis,Houston,15
2009-11-08,New England,Miami,16
2009-11-08,Cincinnati,Baltimore,4
2009-11-08,Arizona,Chicago,20
2009-11-08,Tampa Bay,Green Bay,11
2009-11-08,Jacksonville,Kansas City,26
2009-11-08,Atlanta,Washington,25
2009-11-08,New Orleans,Carolina,22
2009-11-08,Seattle,Detroit,28
2009-11-08,Tennessee,San Francisco,17
2009-11-08,LA Chargers,NY Giants,13
2009-11-08,Dallas,Philadelphia,6
2009-11-15,Pittsburgh,Denver,13
2009-11-15,San Francisco,Chicago,20
2009-11-15,New Orleans,LA Rams,32
2009-11-15,Tennessee,Buffalo,23
2009-11-15,Cincinnati,Pittsburgh,9
2009-11-15,Washington,Denver,13
2009-11-15,Jacksonville,NY Jets,11
2009-11-15,Carolina,Atlanta,8
2009-11-15,Miami,Tampa Bay,28
2009-11-15,Minnesota,Detroit,29
2009-11-15,Kansas City,Las Vegas,31
2009-11-15,Arizona,Seattle,21
2009-11-15,Green Bay,Dallas,5
2009-11-15,LA Chargers,Philadelphia,7
2009-11-15,Indianapolis,New England,2
2009-11-22,Baltimore,Cleveland,30
2009-11-22,Miami,Carolina,22
2009-11-22,New Orleans,Tampa Bay,28
2009-11-22,Kansas City,Pittsburgh,10
2009-11-22,Indianapolis,Baltimore,5
2009-11-22,Green Bay,San Francisco,19
2009-11-22,Detroit,Cleveland,30
2009-11-22,NY Giants,Atlanta,11
2009-11-22,Dallas,Washington,24
2009-11-22,Jacksonville,Buffalo,26
2009-11-22,Minnesota,Seattle,21
2009-11-22,Arizona,LA Rams,32
2009-11-22,New England,NY Jets,12
2009-11-22,LA Chargers,Denver,17
2009-11-22,Las Vegas,Cincinnati,6
2009-11-22,Philadelphia,Chicago,20
2009-11-29,Tennessee,Houston,15
2009-11-29,Green Bay,Detroit,31
2009-11-29,Dallas,Las Vegas,29
2009-11-29,Denver,NY Giants,17
2009-11-29,Seattle,LA Rams,32
2009-11-29,Buffalo,Miami,16
2009-11-29,NY Jets,Carolina,22
2009-11-29,Cincinnati,Cleveland,30
2009-11-29,Indianapolis,Houston,15
2009-11-29,Atlanta,Tampa Bay,28
2009-11-29,Philadelphia,Washington,25
2009-11-29,San Francisco,Jacksonville,24
2009-11-29,LA Chargers,Kansas City,27
2009-11-29,Tennessee,Arizona,11
2009-11-29,Minnesota,Chicago,20
2009-11-29,Baltimore,Pittsburgh,13
2009-12-06,New Orleans,New England,4
2009-12-06,NY Jets,Buffalo,25
2009-12-06,Denver,Kansas City,27
2009-12-06,Las Vegas,Pittsburgh,11
2009-12-06,Chicago,LA Rams,32
2009-12-06,Miami,New England,4
2009-12-06,Cincinnati,Detroit,31
2009-12-06,New Orleans,Washington,24
2009-12-06,Indianapolis,Tennessee,23
2009-12-06,Philadelphia,Atlanta,14
2009-12-06,Carolina,Tampa Bay,28
2009-12-06,Jacksonville,Houston,16
2009-12-06,LA Chargers,Cleveland,29
2009-12-06,NY Giants,Dallas,8
2009-12-06,Seattle,San Francisco,17
2009-12-06,Arizona,Minnesota,3
2009-12-13,Green Bay,Baltimore,8
2009-12-13,Cleveland,Pittsburgh,15
2009-12-13,Buffalo,Kansas City,27
2009-12-13,NY Jets,Tampa Bay,28
2009-12-13,New Orleans,Atlanta,18
2009-12-13,New England,Carolina,22
2009-12-13,Houston,Seattle,20
2009-12-13,Baltimore,Detroit,31
2009-12-13,Green Bay,Chicago,21
2009-12-13,Indianapolis,Denver,12
2009-12-13,Miami,Jacksonville,25
2009-12-13,Minnesota,Cincinnati,11
2009-12-13,Washington,Las Vegas,29
2009-12-13,Tennessee,LA Rams,32
2009-12-13,LA Chargers,Dallas,10
2009-12-13,Philadelphia,NY Giants,14
2009-12-20,San Francisco,Arizona,11
2009-12-20,Indianapolis,Jacksonville,26
2009-12-20,Dallas,New Orleans,1
2009-12-20,Cleveland,Kansas City,27
2009-12-20,Houston,LA Rams,32
2009-12-20,Arizona,Detroit,31
2009-12-20,New England,Buffalo,24
2009-12-20,Tennessee,Miami,19
2009-12-20,Atlanta,NY Jets,10
2009-12-20,Las Vegas,Denver,12
2009-12-20,LA Chargers,Cincinnati,13
2009-12-20,Baltimore,Chicago,23
2009-12-20,Pittsburgh,Green Bay,8
2009-12-20,Philadelphia,San Francisco,15
2009-12-20,Tampa Bay,Seattle,25
2009-12-20,Carolina,Minnesota,4
2009-12-27,NY Giants,Washington,23
2009-12-27,LA Chargers,Tennessee,21
2009-12-27,Cleveland,Las Vegas,29
2009-12-27,Atlanta,Buffalo,22
2009-12-27,Green Bay,Seattle,26
2009-12-27,Houston,Miami,19
2009-12-27,New England,Jacksonville,24
2009-12-27,Pittsburgh,Baltimore,4
2009-12-27,Carolina,NY Giants,11
2009-12-27,Cincinnati,Kansas City,30
2009-12-27,Tampa Bay,New Orleans,1
2009-12-27,San Francisco,Detroit,31
2009-12-27,Arizona,LA Rams,32
2009-12-27,Philadelphia,Denver,14
2009-12-27,NY Jets,Indianapolis,2
2009-12-27,Dallas,Washington,23
2010-01-03,Chicago,Minnesota,8
2010-01-03,San Francisco,LA Rams,32
2010-01-03,Buffalo,Indianapolis,3
2010-01-03,Cleveland,Jacksonville,25
2010-01-03,Pittsburgh,Miami,20
2010-01-03,Houston,New England,2
2010-01-03,Chicago,Detroit,31
2010-01-03,Atlanta,Tampa Bay,26
2010-01-03,Carolina,New Orleans,1
2010-01-03,Minnesota,NY Giants,17
2010-01-03,LA Chargers,Washington,24
2010-01-03,Green Bay,Arizona,12
2010-01-03,Dallas,Philadelphia,6
2010-01-03,Kansas City,Denver,14
2010-01-03,Baltimore,Las Vegas,30
2010-01-03,Tennessee,Seattle,27
2010-01-03,NY Jets,Cincinnati,13
2010-01-10,NY Jets,Cincinnati,17
2010-01-10,Dallas,Philadelphia,10
2010-01-10,Baltimore,New England,2
2010-01-10,Arizona,Green Bay,3
2010-01-17,New Orleans,Arizona,16
2010-01-17,Indianapolis,Baltimore,4
2010-01-17,Minnesota,Dallas,7
2010-01-17,NY Jets,LA Chargers,9
2010-01-24,Indianapolis,NY Jets,6
2010-01-24,New Orleans,Minnesota,2
2010-02-07,New Orleans,Indianapolis,6
2009-09-13,Pittsburgh,Tennessee,10
2009-09-13,Denver,Cincinnati,4
2009-09-13,Baltimore,Kansas City,12
2009-09-13,Indianapolis,Jacksonville,30
2009-09-13,Dallas,Tampa Bay,26
2009-09-13,New Orleans,Detroit,8
2009-09-13,NY Jets,Houston,31
2009-09-13,Minnesota,Cleveland,5
2009-09-13,Philadelphia,Carolina,28
2009-09-13,Atlanta,Miami,15
2009-09-13,San Francisco,Arizona,23
2009-09-13,NY Giants,Washington,29
2009-09-13,Seattle,LA Rams,14
2009-09-13,Green Bay,Chicago,3
2009-09-20,New England,Buffalo,14
2009-09-20,LA Chargers,Las Vegas,22
2009-09-20,Las Vegas,Kansas City,26
2009-09-20,NY Jets,New England,19
2009-09-20,Cincinnati,Green Bay,12
2009-09-20,Atlanta,Carolina,32
2009-09-20,Washington,LA Rams,31
2009-09-20,Arizona,Jacksonville,15
2009-09-20,Houston,Tennessee,16
2009-09-20,Minnesota,Detroit,27
2009-09-20,New Orleans,Philadelphia,1
2009-09-20,Buffalo,Tampa Bay,28
2009-09-20,San Francisco,Seattle,2
2009-09-20,Denver,Cleveland,29
2009-09-20,Chicago,Pittsburgh,17
2009-09-20,Baltimore,LA Chargers,11
2009-09-20,NY Giants,Dallas,5
2009-09-27,Indianapolis,Miami,26
2009-09-27,NY Giants,Tampa Bay,29
2009-09-27,Green Bay,LA Rams,28
2009-09-27,New England,Atlanta,11
2009-09-27,Detroit,Washington,21
2009-09-27,Baltimore,Cleveland,31
2009-09-27,Philadelphia,Kansas City,27
2009-09-27,Minnesota,San Francisco,5
2009-09-27,NY Jets,Tennessee,23
2009-09-27,Jacksonville,Houston,24
2009-09-27,New Orleans,Buffalo,10
2009-09-27,Chicago,Seattle,7
2009-09-27,Denver,Las Vegas,18
2009-09-27,LA Chargers,Miami,26
2009-09-27,Cincinnati,Pittsburgh,17
2009-09-27,Indianapolis,Arizona,8
2009-10-04,Dallas,Carolina,29
2009-10-04,Washington,Tampa Bay,31
2009-10-04,NY Giants,Kansas City,28
2009-10-04,Houston,Las Vegas,25
2009-10-04,New England,Baltimore,3
2009-10-04,Chicago,Detroit,26
2009-10-04,Cincinnati,Cleveland,32
2009-10-04,Indianapolis,Seattle,16
2009-10-04,Jacksonville,Tennessee,22
2009-10-04,New Orleans,NY Jets,7
2009-10-04,Miami,Buffalo,20
2009-10-04,Denver,Dallas,10
2009-10-04,San Francisco,LA Rams,30
2009-10-04,Pittsburgh,LA Chargers,15
2009-10-11,Minnesota,Green Bay,14
2009-10-11,Minnesota,LA Rams,32
2009-10-11,Dallas,Kansas City,27
2009-10-11,Cleveland,Buffalo,25
2009-10-11,Philadelphia,Tampa Bay,30
2009-10-11,NY Giants,Las Vegas,28
2009-10-11,Pittsburgh,Detroit,26
2009-10-11,Cincinnati,Baltimore,6
2009-10-11,Carolina,Washington,23
2009-10-11,Atlanta,San Francisco,3
2009-10-11,Arizona,Houston,22
2009-10-11,Denver,New England,12
2009-10-11,Seattle,Jacksonville,13
2009-10-11,Indianapolis,Tennessee,24
2009-10-18,Miami,NY Jets,12
2009-10-18,Carolina,Tampa Bay,30
2009-10-18,Pittsburgh,Cleveland,29
2009-10-18,Green Bay,Detroit,27
2009-10-18,Houston,Cincinnati,13
2009-10-18,New Orleans,NY Giants,2
2009-10-18,Jacksonville,LA Rams,32
2009-10-18,Kansas City,Washington,22
2009-10-18,Minnesota,Baltimore,7
2009-10-18,Arizona,Seattle,10
2009-10-18,Las Vegas,Philadelphia,8
2009-10-18,New England,Tennessee,26
2009-10-18,Buffalo,NY Jets,12
2009-10-18,Atlanta,Chicago,9
2009-10-25,Denver,LA Chargers,21
2009-10-25,Indianapolis,LA Rams,32
2009-10-25,LA Chargers,Kansas City,26
2009-10-25,Green Bay,Cleveland,27
2009-10-25,Pittsburgh,Minnesota,6
2009-10-25,Houston,San Francisco,14
2009-10-25,New England,Tampa Bay,30
2009-10-25,Buffalo,Carolina,25
2009-10-25,NY Jets,Las Vegas,28
2009-10-25,New Orleans,Miami,17
2009-10-25,Dallas,Atlanta,7
2009-10-25,Cincinnati,Chicago,11
2009-10-25,Arizona,NY Giants,5
2009-11-01,Philadelphia,Washington,24
2009-11-01,Chicago,Cleveland,28
2009-11-01,Baltimore,Denver,4
2009-11-01,Miami,NY Jets,6
2009-11-01,Houston,Buffalo,22
2009-11-01,Dallas,Seattle,19
2009-11-01,LA Rams,Detroit,26
2009-11-01,Indianapolis,San Francisco,17
2009-11-01,Philadelphia,NY Giants,8
2009-11-01,Tennessee,Jacksonville,23
2009-11-01,LA Chargers,Las Vegas,31
2009-11-01,Carolina,Arizona,12
2009-11-01,Minnesota,Green Bay,5
2009-11-08,New Orleans,Atlanta,10
2009-11-08,Indianapolis,Houston,15
2009-11-08,New England,Miami,16
2009-11-08,Cincinnati,Baltimore,4
2009-11-08,Arizona,Chicago,20
2009-11-08,Tampa Bay,Green Bay,11
2009-11-08,Jacksonville,Kansas City,26
2009-11-08,Atlanta,Washington,25
2009-11-08,New Orleans,Carolina,22
2009-11-08,Seattle,Detroit,28
2009-11-08,Tennessee,San Francisco,17
2009-11-08,LA Chargers,NY Giants,13
2009-11-08,Dallas,Philadelphia,6
2009-11-15,Pittsburgh,Denver,13
2009-11-15,San Francisco,Chicago,20
2009-11-15,New Orleans,LA Rams,32
2009-11-15,Tennessee,Buffalo,23
2009-11-15,Cincinnati,Pittsburgh,9
2009-11-15,Washington,Denver,13
2009-11-15,Jacksonville,NY Jets,11
2009-11-15,Carolina,Atlanta,8
2009-11-15,Miami,Tampa Bay,28
2009-11-15,Minnesota,Detroit,29
2009-11-15,Kansas City,Las Vegas,31
2009-11-15,Arizona,Seattle,21
2009-11-15,Green Bay,Dallas,5
2009-11-15,LA Chargers,Philadelphia,7
2009-11-15,Indianapolis,New England,2
2009-11-22,Baltimore,Cleveland,30
2009-11-22,Miami,Carolina,22
2009-11-22,New Orleans,Tampa Bay,28
2009-11-22,Kansas City,Pittsburgh,10
2009-11-22,Indianapolis,Baltimore,5
2009-11-22,Green Bay,San Francisco,19
2009-11-22,Detroit,Cleveland,30
2009-11-22,NY Giants,Atlanta,11
2009-11-22,Dallas,Washington,24
2009-11-22,Jacksonville,Buffalo,26
2009-11-22,Minnesota,Seattle,21
2009-11-22,Arizona,LA Rams,32
2009-11-22,New England,NY Jets,12
2009-11-22,LA Chargers,Denver,17
2009-11-22,Las Vegas,Cincinnati,6
2009-11-22,Philadelphia,Chicago,20
2009-11-29,Tennessee,Houston,15
2009-11-29,Green Bay,Detroit,31
2009-11-29,Dallas,Las Vegas,29
2009-11-29,Denver,NY Giants,17
2009-11-29,Seattle,LA Rams,32
2009-11-29,Buffalo,Miami,16
2009-11-29,NY Jets,Carolina,22
2009-11-29,Cincinnati,Cleveland,30
2009-11-29,Indianapolis,Houston,15
2009-11-29,Atlanta,Tampa Bay,28
2009-11-29,Philadelphia,Washington,25
2009-11-29,San Francisco,Jacksonville,24
2009-11-29,LA Chargers,Kansas City,27
2009-11-29,Tennessee,Arizona,11
2009-11-29,Minnesota,Chicago,20
2009-11-29,Baltimore,Pittsburgh,13
2009-12-06,New Orleans,New England,4
2009-12-06,NY Jets,Buffalo,25
2009-12-06,Denver,Kansas City,27
2009-12-06,Las Vegas,Pittsburgh,11
2009-12-06,Chicago,LA Rams,32
2009-12-06,Miami,New England,4
2009-12-06,Cincinnati,Detroit,31
2009-12-06,New Orleans,Washington,24
2009-12-06,Indianapolis,Tennessee,23
2009-12-06,Philadelphia,Atlanta,14
2009-12-06,Carolina,Tampa Bay,28
2009-12-06,Jacksonville,Houston,16
2009-12-06,LA Chargers,Cleveland,29
2009-12-06,NY Giants,Dallas,8
2009-12-06,Seattle,San Francisco,17
2009-12-06,Arizona,Minnesota,3
2009-12-13,Green Bay,Baltimore,8
2009-12-13,Cleveland,Pittsburgh,15
2009-12-13,Buffalo,Kansas City,27
2009-12-13,NY Jets,Tampa Bay,28
2009-12-13,New Orleans,Atlanta,18
2009-12-13,New England,Carolina,22
2009-12-13,Houston,Seattle,20
2009-12-13,Baltimore,Detroit,31
2009-12-13,Green Bay,Chicago,21
2009-12-13,Indianapolis,Denver,12
2009-12-13,Miami,Jacksonville,25
2009-12-13,Minnesota,Cincinnati,11
2009-12-13,Washington,Las Vegas,29
2009-12-13,Tennessee,LA Rams,32
2009-12-13,LA Chargers,Dallas,10
2009-12-13,Philadelphia,NY Giants,14
2009-12-20,San Francisco,Arizona,11
2009-12-20,Indianapolis,Jacksonville,26
2009-12-20,Dallas,New Orleans,1
2009-12-20,Cleveland,Kansas City,27
2009-12-20,Houston,LA Rams,32
2009-12-20,Arizona,Detroit,31
2009-12-20,New England,Buffalo,24
2009-12-20,Tennessee,Miami,19
2009-12-20,Atlanta,NY Jets,10
2009-12-20,Las Vegas,Denver,12
2009-12-20,LA Chargers,Cincinnati,13
2009-12-20,Baltimore,Chicago,23
2009-12-20,Pittsburgh,Green Bay,8
2009-12-20,Philadelphia,San Francisco,15
2009-12-20,Tampa Bay,Seattle,25
2009-12-20,Carolina,Minnesota,4
2009-12-27,NY Giants,Washington,23
2009-12-27,LA Chargers,Tennessee,21
2009-12-27,Cleveland,Las Vegas,29
2009-12-27,Atlanta,Buffalo,22
2009-12-27,Green Bay,Seattle,26
2009-12-27,Houston,Miami,19
2009-12-27,New England,Jacksonville,24
2009-12-27,Pittsburgh,Baltimore,4
2009-12-27,Carolina,NY Giants,11
2009-12-27,Cincinnati,Kansas City,30
2009-12-27,Tampa Bay,New Orleans,1
2009-12-27,San Francisco,Detroit,31
2009-12-27,Arizona,LA Rams,32
2009-12-27,Philadelphia,Denver,14
2009-12-27,NY Jets,Indianapolis,2
2009-12-27,Dallas,Washington,23
2010-01-03,Chicago,Minnesota,8
2010-01-03,San Francisco,LA Rams,32
2010-01-03,Buffalo,Indianapolis,3
2010-01-03,Cleveland,Jacksonville,25
2010-01-03,Pittsburgh,Miami,20
2010-01-03,Houston,New England,2
2010-01-03,Chicago,Detroit,31
2010-01-03,Atlanta,Tampa Bay,26
2010-01-03,Carolina,New Orleans,1
2010-01-03,Minnesota,NY Giants,17
2010-01-03,LA Chargers,Washington,24
2010-01-03,Green Bay,Arizona,12
2010-01-03,Dallas,Philadelphia,6
2010-01-03,Kansas City,Denver,14
2010-01-03,Baltimore,Las Vegas,30
2010-01-03,Tennessee,Seattle,27
2010-01-03,NY Jets,Cincinnati,13
2010-01-10,NY Jets,Cincinnati,17
2010-01-10,Dallas,Philadelphia,10
2010-01-10,Baltimore,New England,2
2010-01-10,Arizona,Green Bay,3
2010-01-17,New Orleans,Arizona,16
2010-01-17,Indianapolis,Baltimore,4
2010-01-17,Minnesota,Dallas,7
2010-01-17,NY Jets,LA Chargers,9
2010-01-24,Indianapolis,NY Jets,6
2010-01-24,New Orleans,Minnesota,2
2010-02-07,New Orleans,Indianapolis,6
2008-09-07,NY Giants,Washington,32
2008-09-07,Philadelphia,LA Rams,15
2008-09-07,New Orleans,Tampa Bay,26
2008-09-07,Buffalo,Seattle,27
2008-09-07,Pittsburgh,Houston,30
2008-09-07,New England,Kansas City,13
