year,month,day,team,total_points_per_game
2021,10,17,Cleveland,42.0
2021,10,17,LA Chargers,47.0
2021,10,17,LA Rams,26.0
2021,10,17,Baltimore,31.0
2021,10,17,Tennessee,37.0
2021,10,17,New Orleans,33.0
2021,10,17,Washington,22.0
2021,10,17,Green Bay,25.0
2021,10,17,Seattle,17.0
2021,10,17,San Francisco,10.0
2021,10,17,Carolina,18.0
2021,10,17,Philadelphia,22.0
2021,10,17,Cincinnati,22.0
2021,10,17,Minnesota,19.0
2021,10,17,Las Vegas,9.0
2021,10,17,Indianapolis,25.0
2021,10,17,Atlanta,27.0
2021,10,17,NY Giants,20.0
2021,10,17,Denver,19.0
2021,10,17,Detroit,17.0
2021,10,17,New England,25.0
2021,10,17,Pittsburgh,27.0
2021,10,17,Jacksonville,19.0
2021,10,17,Houston,22.0
2021,10,17,Chicago,20.0
2021,10,17,Miami,17.0
2021,10,17,NY Jets,20.0
2021,10,10,Arizona,37.0
2021,10,10,Buffalo,40.0
2021,10,10,Kansas City,42.0
2021,10,10,Dallas,36.0
2021,10,10,Tampa Bay,19.0
2021,10,10,LA Rams,26.0
2021,10,10,San Francisco,21.0
2021,10,10,Baltimore,23.0
2021,10,10,Las Vegas,14.0
2021,10,10,Washington,34.0
2021,10,10,Cleveland,14.0
2021,10,10,Carolina,28.0
2021,10,10,Seattle,17.0
2021,10,10,Green Bay,27.0
2021,10,10,Tennessee,24.0
2021,10,10,LA Chargers,28.0
2021,10,10,Minnesota,7.0
2021,10,10,New Orleans,21.0
2021,10,10,Philadelphia,30.0
2021,10,10,Cincinnati,24.0
2021,10,10,Denver,7.0
2021,10,10,Indianapolis,27.0
2021,10,10,NY Giants,27.0
2021,10,10,Detroit,14.0
2021,10,10,Atlanta,30.0
2021,10,10,Jacksonville,21.0
2021,10,10,New England,17.0
2021,10,10,Pittsburgh,17.0
2021,10,10,Houston,0.0
2021,10,10,Chicago,24.0
2021,10,10,Miami,17.0
2021,10,10,NY Jets,27.0
2021,10,3,Arizona,31.0
2021,10,3,Tampa Bay,24.0
2021,10,3,LA Rams,34.0
2021,10,3,Buffalo,43.0
2021,10,3,Kansas City,24.0
2021,10,3,Las Vegas,31.0
2021,10,3,Dallas,41.0
2021,10,3,Minnesota,30.0
2021,10,3,Cleveland,26.0
2021,10,3,San Francisco,28.0
2021,10,3,Baltimore,19.0
2021,10,3,Denver,26.0
2021,10,3,Seattle,17.0
2021,10,3,New Orleans,28.0
2021,10,3,Tennessee,25.0
2021,10,3,Cincinnati,24.0
2021,10,3,Carolina,24.0
2021,10,3,Green Bay,30.0
2021,10,3,Houston,9.0
2021,10,3,LA Chargers,30.0
2021,10,3,Detroit,17.0
2021,10,3,Washington,21.0
2021,10,3,Philadelphia,21.0
2021,10,3,NY Giants,14.0
2021,10,3,Indianapolis,16.0
2021,10,3,Jacksonville,21.0
2021,10,3,New England,13.0
2021,10,3,Pittsburgh,10.0
2021,10,3,Atlanta,17.0
2021,10,3,Miami,28.0
2021,10,3,Chicago,6.0
2021,10,3,NY Jets,0.0
