year,month,day,team,red_zone_TD_percentage
2019,1,6,NY Giants,60.00%
2019,1,6,Houston,50.00%
2019,1,6,NY Jets,0.00%
2019,1,6,Jacksonville,0.00%
2019,1,6,San Francisco,60.00%
2018,12,30,Cincinnati,66.67%
2018,12,30,Pittsburgh,50.00%
2018,12,30,Kansas City,75.00%
2018,12,30,New Orleans,0.00%
2018,12,30,Indianapolis,75.00%
2018,12,30,Arizona,0.00%
2018,12,30,Carolina,42.86%
2018,12,30,Cleveland,100.00%
2018,12,30,Chicago,100.00%
2018,12,30,Seattle,40.00%
2018,12,30,Atlanta,50.00%
2018,12,30,Baltimore,50.00%
2018,12,30,New England,33.33%
2018,12,30,Green Bay,100.00%
2018,12,30,LA Chargers,83.33%
2018,12,30,Tampa Bay,100.00%
2018,12,30,Buffalo,66.67%
2018,12,30,LA Rams,66.67%
2018,12,30,Washington,66.67%
2018,12,30,Denver,75.00%
2018,12,30,Philadelphia,66.67%
2018,12,30,Tennessee,0.00%
2018,12,30,Jacksonville,75.00%
2018,12,30,Minnesota,33.33%
2018,12,30,Detroit,50.00%
2018,12,30,Houston,100.00%
2018,12,30,Dallas,20.00%
2018,12,30,NY Giants,33.33%
2018,12,30,San Francisco,50.00%
2018,12,30,Las Vegas,100.00%
2018,12,30,Miami,50.00%
2018,12,30,NY Jets,50.00%
2018,12,23,Cincinnati,100.00%
2018,12,23,Pittsburgh,66.67%
2018,12,23,Carolina,75.00%
2018,12,23,New Orleans,66.67%
2018,12,23,Arizona,100.00%
2018,12,23,Kansas City,75.00%
2018,12,23,Seattle,60.00%
2018,12,23,Indianapolis,80.00%
2018,12,23,Chicago,100.00%
2018,12,23,New England,100.00%
2018,12,23,Baltimore,50.00%
2018,12,23,Atlanta,50.00%
2018,12,23,Cleveland,100.00%
2018,12,23,Green Bay,50.00%
2018,12,23,Buffalo,80.00%
2018,12,23,LA Rams,66.67%
2018,12,23,Tampa Bay,80.00%
2018,12,23,Tennessee,100.00%
2018,12,23,Washington,66.67%
2018,12,23,LA Chargers,66.67%
2018,12,23,Philadelphia,0.00%
2018,12,23,Denver,50.00%
2018,12,23,Dallas,66.67%
2018,12,23,Minnesota,40.00%
2018,12,23,Detroit,50.00%
2018,12,23,NY Giants,100.00%
2018,12,23,Jacksonville,100.00%
2018,12,23,San Francisco,50.00%
2018,12,23,Houston,33.33%
2018,12,23,Las Vegas,33.33%
2018,12,23,NY Jets,100.00%
2018,12,23,Miami,0.00%
2018,12,16,Pittsburgh,100.00%
2018,12,16,Cincinnati,100.00%
2018,12,16,Carolina,100.00%
2018,12,16,New Orleans,83.33%
2018,12,16,Kansas City,50.00%
2018,12,16,Seattle,60.00%
2018,12,16,Atlanta,66.67%
2018,12,16,Arizona,100.00%
2018,12,16,Baltimore,25.00%
2018,12,16,Indianapolis,100.00%
2018,12,16,New England,100.00%
2018,12,16,Chicago,66.67%
2018,12,16,Cleveland,100.00%
2018,12,16,Green Bay,50.00%
2018,12,16,Buffalo,80.00%
2018,12,16,LA Rams,57.14%
2018,12,16,Philadelphia,66.67%
2018,12,16,Minnesota,66.67%
2018,12,16,Tennessee,66.67%
2018,12,16,LA Chargers,33.33%
2018,12,16,Tampa Bay,0.00%
2018,12,16,Denver,100.00%
2018,12,16,Washington,50.00%
2018,12,16,Dallas,60.00%
2018,12,16,Detroit,100.00%
2018,12,16,San Francisco,50.00%
2018,12,16,Houston,50.00%
2018,12,16,Jacksonville,66.67%
2018,12,16,Las Vegas,0.00%
2018,12,16,NY Giants,50.00%
2018,12,16,NY Jets,100.00%
2018,12,16,Miami,0.00%
2018,12,9,Pittsburgh,100.00%
2018,12,9,Cincinnati,100.00%
2018,12,9,Carolina,100.00%
2018,12,9,Kansas City,100.00%
2018,12,9,Seattle,66.67%
2018,12,9,New Orleans,100.00%
2018,12,9,Atlanta,66.67%
2018,12,9,Baltimore,25.00%
2018,12,9,Chicago,75.00%
2018,12,9,New England,60.00%
2018,12,9,Arizona,66.67%
2018,12,9,Indianapolis,60.00%
2018,12,9,Tampa Bay,100.00%
2018,12,9,Cleveland,100.00%
2018,12,9,LA Chargers,100.00%
2018,12,9,LA Rams,60.00%
2018,12,9,Minnesota,66.67%
2018,12,9,Philadelphia,50.00%
2018,12,9,Denver,100.00%
2018,12,9,Green Bay,66.67%
2018,12,9,Tennessee,80.00%
2018,12,9,Washington,100.00%
2018,12,9,Buffalo,100.00%
2018,12,9,Dallas,25.00%
2018,12,9,Las Vegas,0.00%
2018,12,9,Miami,0.00%
2018,12,9,San Francisco,50.00%
2018,12,9,Houston,50.00%
2018,12,9,Detroit,0.00%
2018,12,9,Jacksonville,33.33%
2018,12,9,NY Giants,25.00%
2018,12,2,Cincinnati,100.00%
2018,12,2,Pittsburgh,100.00%
2018,12,2,Seattle,75.00%
2018,12,2,Baltimore,100.00%
2018,12,2,Kansas City,75.00%
2018,12,2,Carolina,80.00%
2018,12,2,New Orleans,66.67%
2018,12,2,New England,33.33%
2018,12,2,Arizona,66.67%
2018,12,2,Chicago,66.67%
2018,12,2,Indianapolis,60.00%
2018,12,2,Tampa Bay,50.00%
2018,12,2,LA Rams,50.00%
2018,12,2,LA Chargers,0.00%
2018,12,2,Dallas,100.00%
2018,12,2,Philadelphia,50.00%
2018,12,2,Minnesota,75.00%
2018,12,2,Cleveland,50.00%
2018,12,2,Green Bay,100.00%
2018,12,2,Denver,66.67%
2018,12,2,Detroit,50.00%
2018,12,2,Miami,50.00%
2018,12,2,Las Vegas,0.00%
2018,12,2,Washington,33.33%
2018,12,2,San Francisco,50.00%
2018,12,2,Houston,100.00%
2018,12,2,Tennessee,40.00%
2018,12,2,Jacksonville,33.33%
2018,12,2,NY Giants,25.00%
2018,12,2,NY Jets,100.00%
2018,11,25,Cincinnati,100.00%
2018,11,25,Pittsburgh,66.67%
2018,11,25,Carolina,75.00%
2018,11,25,New Orleans,66.67%
2018,11,25,Arizona,100.00%
2018,11,25,Kansas City,75.00%
2018,11,25,Seattle,60.00%
2018,11,25,Indianapolis,80.00%
2018,11,25,Chicago,100.00%
2018,11,25,New England,100.00%
2018,11,25,Baltimore,50.00%
2018,11,25,Atlanta,50.00%
2018,11,25,Cleveland,100.00%
2018,11,25,Green Bay,50.00%
2018,11,25,Buffalo,80.00%
2018,11,25,LA Rams,66.67%
2018,11,25,Tampa Bay,80.00%
2018,11,25,Tennessee,100.00%
2018,11,25,Washington,66.67%
2018,11,25,LA Chargers,66.67%
2018,11,25,Philadelphia,0.00%
2018,11,25,Denver,50.00%
2018,11,25,Dallas,66.67%
2018,11,25,Minnesota,40.00%
2018,11,25,Detroit,50.00%
2018,11,25,NY Giants,100.00%
2018,11,25,Jacksonville,100.00%
2018,11,25,San Francisco,50.00%
2018,11,25,Houston,33.33%
2018,11,25,Las Vegas,33.33%
2018,11,25,NY Jets,100.00%
2018,11,25,Miami,0.00%
2018,11,18,Pittsburgh,100.00%
2018,11,18,Cincinnati,100.00%
2018,11,18,Carolina,100.00%
2018,11,18,New Orleans,83.33%
2018,11,18,Kansas City,50.00%
2018,11,18,Seattle,60.00%
2018,11,18,Atlanta,66.67%
2018,11,18,Arizona,100.00%
2018,11,18,Baltimore,25.00%
2018,11,18,Indianapolis,100.00%
2018,11,18,New England,100.00%
2018,11,18,Chicago,66.67%
2018,11,18,Cleveland,100.00%
2018,11,18,Green Bay,50.00%
2018,11,18,Buffalo,80.00%
2018,11,18,LA Rams,57.14%
2018,11,18,Philadelphia,66.67%
2018,11,18,Minnesota,66.67%
2018,11,18,Tennessee,66.67%
2018,11,18,LA Chargers,33.33%
2018,11,18,Tampa Bay,0.00%
2018,11,18,Denver,100.00%
2018,11,18,Washington,50.00%
2018,11,18,Dallas,60.00%
2018,11,18,Detroit,100.00%
2018,11,18,San Francisco,50.00%
2018,11,18,Houston,50.00%
2018,11,18,Jacksonville,66.67%
2018,11,18,Las Vegas,0.00%
2018,11,18,NY Giants,50.00%
2018,11,18,NY Jets,100.00%
2018,11,18,Miami,0.00%
2018,11,11,Pittsburgh,100.00%
2018,11,11,Cincinnati,100.00%
2018,11,11,Carolina,100.00%
2018,11,11,Kansas City,100.00%
2018,11,11,Seattle,66.67%
2018,11,11,New Orleans,100.00%
2018,11,11,Atlanta,66.67%
2018,11,11,Baltimore,25.00%
2018,11,11,Chicago,75.00%
2018,11,11,New England,60.00%
2018,11,11,Arizona,66.67%
2018,11,11,Indianapolis,60.00%
2018,11,11,Tampa Bay,100.00%
2018,11,11,Cleveland,100.00%
2018,11,11,LA Chargers,100.00%
2018,11,11,LA Rams,60.00%
2018,11,11,Minnesota,66.67%
2018,11,11,Philadelphia,50.00%
2018,11,11,Denver,100.00%
2018,11,11,Green Bay,66.67%
2018,11,11,Tennessee,80.00%
2018,11,11,Washington,100.00%
2018,11,11,Buffalo,100.00%
2018,11,11,Dallas,25.00%
2018,11,11,Las Vegas,0.00%
2018,11,11,Miami,0.00%
2018,11,11,San Francisco,50.00%
2018,11,11,Houston,50.00%
2018,11,11,Detroit,0.00%
2018,11,11,Jacksonville,33.33%
2018,11,11,NY Giants,25.00%
2018,11,4,Cincinnati,100.00%
2018,11,4,Pittsburgh,100.00%
2018,11,4,Seattle,75.00%
2018,11,4,Baltimore,100.00%
2018,11,4,Kansas City,75.00%
2018,11,4,Carolina,80.00%
2018,11,4,New Orleans,66.67%
2018,11,4,New England,33.33%
2018,11,4,Arizona,66.67%
2018,11,4,Chicago,66.67%
2018,11,4,Indianapolis,60.00%
2018,11,4,Tampa Bay,50.00%
2018,11,4,LA Rams,50.00%
2018,11,4,LA Chargers,0.00%
2018,11,4,Dallas,100.00%
2018,11,4,Philadelphia,50.00%
2018,11,4,Minnesota,75.00%
2018,11,4,Cleveland,50.00%
2018,11,4,Green Bay,100.00%
2018,11,4,Denver,66.67%
2018,11,4,Detroit,50.00%
2018,11,4,Miami,50.00%
2018,11,4,Las Vegas,0.00%
2018,11,4,Washington,33.33%
2018,11,4,San Francisco,50.00%
2018,11,4,Houston,100.00%
2018,11,4,Tennessee,40.00%
2018,11,4,Jacksonville,33.33%
2018,11,4,NY Giants,25.00%
2018,11,4,NY Jets,100.00%
2018,10,28,Seattle,60.00%
2018,10,28,Cincinnati,50.00%
2018,10,28,Pittsburgh,50.00%
2018,10,28,Baltimore,75.00%
2018,10,28,Kansas City,71.43%
2018,10,28,New England,75.00%
2018,10,28,New Orleans,75.00%
2018,10,28,Indianapolis,75.00%
2018,10,28,Chicago,100.00%
2018,10,28,Arizona,100.00%
2018,10,28,Carolina,100.00%
2018,10,28,Tampa Bay,100.00%
2018,10,28,LA Rams,57.14%
2018,10,28,LA Chargers,0.00%
2018,10,28,Dallas,100.00%
2018,10,28,Philadelphia,50.00%
2018,10,28,Cleveland,60.00%
2018,10,28,Minnesota,33.33%
2018,10,28,San Francisco,50.00%
2018,10,28,Green Bay,50.00%
2018,10,28,Detroit,50.00%
2018,10,28,Washington,0.00%
2018,10,28,Miami,50.00%
2018,10,28,Denver,50.00%
2018,10,28,Buffalo,0.00%
2018,10,28,Houston,100.00%
2018,10,28,Las Vegas,0.00%
2018,10,28,Tennessee,40.00%
2018,10,28,NY Giants,40.00%
2018,10,28,Jacksonville,100.00%
2018,10,28,NY Jets,66.67%
2018,10,21,Cincinnati,100.00%
2018,10,21,Seattle,60.00%
2018,10,21,Pittsburgh,50.00%
2018,10,21,Atlanta,100.00%
2018,10,21,Baltimore,100.00%
2018,10,21,Kansas City,40.00%
2018,10,21,New England,66.67%
2018,10,21,New Orleans,80.00%
2018,10,21,Arizona,100.00%
2018,10,21,Indianapolis,60.00%
2018,10,21,LA Chargers,75.00%
2018,10,21,LA Rams,40.00%
2018,10,21,Carolina,33.33%
2018,10,21,Washington,50.00%
2018,10,21,Philadelphia,66.67%
2018,10,21,Chicago,50.00%
2018,10,21,Tampa Bay,66.67%
2018,10,21,Minnesota,66.67%
2018,10,21,Dallas,80.00%
2018,10,21,Cleveland,33.33%
2018,10,21,Detroit,100.00%
2018,10,21,Green Bay,50.00%
2018,10,21,Buffalo,50.00%
2018,10,21,San Francisco,100.00%
2018,10,21,Denver,50.00%
2018,10,21,Miami,33.33%
2018,10,21,Las Vegas,0.00%
2018,10,21,NY Giants,0.00%
2018,10,21,Houston,25.00%
2018,10,21,NY Jets,16.67%
2018,10,14,Seattle,100.00%
2018,10,14,Pittsburgh,80.00%
2018,10,14,Kansas City,50.00%
2018,10,14,Arizona,100.00%
2018,10,14,Cincinnati,25.00%
2018,10,14,New England,75.00%
2018,10,14,New Orleans,80.00%
2018,10,14,Baltimore,0.00%
2018,10,14,Atlanta,50.00%
2018,10,14,Indianapolis,75.00%
2018,10,14,Carolina,33.33%
2018,10,14,LA Rams,66.67%
2018,10,14,LA Chargers,50.00%
2018,10,14,Chicago,100.00%
2018,10,14,Cleveland,33.33%
2018,10,14,Washington,66.67%
2018,10,14,Philadelphia,66.67%
2018,10,14,Detroit,100.00%
2018,10,14,Buffalo,33.33%
2018,10,14,Minnesota,25.00%
2018,10,14,Tampa Bay,33.33%
2018,10,14,Green Bay,75.00%
2018,10,14,Las Vegas,33.33%
2018,10,14,San Francisco,100.00%
2018,10,14,Denver,25.00%
2018,10,14,Tennessee,0.00%
2018,10,14,NY Giants,0.00%
2018,10,14,Dallas,50.00%
2018,10,14,Jacksonville,20.00%
2018,10,14,Houston,16.67%
2018,10,14,NY Jets,33.33%
2018,10,7,Cincinnati,80.00%
2018,10,7,Kansas City,60.00%
2018,10,7,Pittsburgh,0.00%
2018,10,7,Baltimore,20.00%
2018,10,7,Seattle,50.00%
2018,10,7,Carolina,100.00%
2018,10,7,New England,75.00%
2018,10,7,Atlanta,60.00%
2018,10,7,Cleveland,50.00%
2018,10,7,Indianapolis,75.00%
2018,10,7,New Orleans,33.33%
2018,10,7,LA Chargers,40.00%
2018,10,7,Arizona,66.67%
2018,10,7,Minnesota,50.00%
2018,10,7,LA Rams,50.00%
2018,10,7,Chicago,100.00%
2018,10,7,Philadelphia,25.00%
2018,10,7,Denver,66.67%
2018,10,7,Washington,60.00%
2018,10,7,NY Giants,66.67%
2018,10,7,Tennessee,75.00%
2018,10,7,Jacksonville,33.33%
2018,10,7,Miami,100.00%
2018,10,7,Las Vegas,57.14%
2018,10,7,Tampa Bay,33.33%
2018,10,7,Houston,60.00%
2018,10,7,Green Bay,66.67%
2018,10,7,Dallas,33.33%
2018,10,7,San Francisco,25.00%
2018,10,7,NY Jets,50.00%
2018,10,7,Detroit,50.00%
2018,9,30,Jacksonville,100.00%
2018,9,30,Philadelphia,50.00%
2018,9,30,New England,50.00%
2018,9,30,Green Bay,100.00%
2018,9,30,New Orleans,75.00%
2018,9,30,Chicago,0.00%
2018,9,30,Dallas,0.00%
2018,9,30,Las Vegas,0.00%
2018,9,30,Baltimore,75.00%
2018,9,30,Detroit,50.00%
2018,9,30,Cincinnati,66.67%
2018,9,30,Seattle,100.00%
2018,9,30,Minnesota,0.00%
2018,9,30,Tennessee,100.00%
2018,9,30,NY Jets,0.00%
2018,9,30,Washington,100.00%
2018,9,30,LA Rams,25.00%
2018,9,30,Pittsburgh,100.00%
2018,9,30,Miami,50.00%
2018,9,30,Houston,100.00%
2018,9,30,Carolina,25.00%
2018,9,30,Buffalo,0.00%
2018,9,30,Atlanta,33.33%
2018,9,30,Tampa Bay,66.67%
2018,9,30,Cleveland,100.00%
2018,9,30,NY Giants,25.00%
2018,9,30,San Francisco,80.00%
2018,9,30,LA Chargers,33.33%
2018,9,30,Kansas City,100.00%
2018,9,30,Arizona,100.00%
2018,9,30,Indianapolis,66.67%
2018,9,30,Denver,33.33%
2018,9,23,Jacksonville,100.00%
2018,9,23,Philadelphia,50.00%
2018,9,23,New England,50.00%
2018,9,23,Green Bay,100.00%
2018,9,23,New Orleans,75.00%
2018,9,23,Chicago,0.00%
2018,9,23,Dallas,0.00%
2018,9,23,Las Vegas,0.00%
2018,9,23,Baltimore,75.00%
2018,9,23,Detroit,50.00%
2018,9,23,Cincinnati,66.67%
2018,9,23,Seattle,100.00%
2018,9,23,Minnesota,0.00%
2018,9,23,Tennessee,100.00%
2018,9,23,NY Jets,0.00%
2018,9,23,Washington,100.00%
2018,9,23,LA Rams,25.00%
2018,9,23,Pittsburgh,100.00%
2018,9,23,Miami,50.00%
2018,9,23,Houston,100.00%
2018,9,23,Carolina,25.00%
2018,9,23,Buffalo,0.00%
2018,9,23,Atlanta,33.33%
2018,9,23,Tampa Bay,66.67%
2018,9,23,Cleveland,100.00%
2018,9,23,NY Giants,25.00%
2018,9,23,San Francisco,80.00%
2018,9,23,LA Chargers,33.33%
2018,9,23,Kansas City,100.00%
2018,9,23,Arizona,100.00%
2018,9,23,Indianapolis,66.67%
2018,9,23,Denver,33.33%
2018,9,16,Jacksonville,100.00%
2018,9,16,Philadelphia,50.00%
2018,9,16,New England,50.00%
2018,9,16,Green Bay,100.00%
2018,9,16,New Orleans,75.00%
2018,9,16,Chicago,0.00%
2018,9,16,Dallas,0.00%
2018,9,16,Las Vegas,0.00%
2018,9,16,Baltimore,75.00%
2018,9,16,Detroit,50.00%
2018,9,16,Cincinnati,66.67%
2018,9,16,Seattle,100.00%
2018,9,16,Minnesota,0.00%
2018,9,16,Tennessee,100.00%
2018,9,16,NY Jets,0.00%
2018,9,16,Washington,100.00%
2018,9,16,LA Rams,25.00%
2018,9,16,Pittsburgh,100.00%
2018,9,16,Miami,50.00%
2018,9,16,Houston,100.00%
2018,9,16,Carolina,25.00%
2018,9,16,Buffalo,0.00%
2018,9,16,Atlanta,33.33%
2018,9,16,Tampa Bay,66.67%
2018,9,16,Cleveland,100.00%
2018,9,16,NY Giants,25.00%
2018,9,16,San Francisco,80.00%
2018,9,16,LA Chargers,33.33%
2018,9,16,Kansas City,100.00%
2018,9,16,Arizona,100.00%
2018,9,16,Indianapolis,66.67%
2018,9,16,Denver,33.33%
2018,9,9,Jacksonville,100.00%
2018,9,9,Philadelphia,50.00%
2018,9,9,New England,50.00%
2018,9,9,Green Bay,100.00%
2018,9,9,New Orleans,75.00%
2018,9,9,Chicago,0.00%
2018,9,9,Dallas,0.00%
2018,9,9,Las Vegas,0.00%
2018,9,9,Baltimore,75.00%
2018,9,9,Detroit,50.00%
2018,9,9,Cincinnati,66.67%
2018,9,9,Seattle,100.00%
2018,9,9,Minnesota,0.00%
2018,9,9,Tennessee,100.00%
2018,9,9,NY Jets,0.00%
2018,9,9,Washington,100.00%
2018,9,9,LA Rams,25.00%
2018,9,9,Pittsburgh,100.00%
2018,9,9,Miami,50.00%
2018,9,9,Houston,100.00%
2018,9,9,Carolina,25.00%
2018,9,9,Buffalo,0.00%
2018,9,9,Atlanta,33.33%
2018,9,9,Tampa Bay,66.67%
2018,9,9,Cleveland,100.00%
2018,9,9,NY Giants,25.00%
2018,9,9,San Francisco,80.00%
2018,9,9,LA Chargers,33.33%
2018,9,9,Kansas City,100.00%
2018,9,9,Arizona,100.00%
2018,9,9,Indianapolis,66.67%
2018,9,9,Denver,33.33%
2018,9,2,Jacksonville,100.00%
2018,9,2,Philadelphia,50.00%
2018,9,2,New England,50.00%
2018,9,2,Green Bay,100.00%
2018,9,2,New Orleans,75.00%
2018,9,2,Chicago,0.00%
2018,9,2,Dallas,0.00%
2018,9,2,Las Vegas,0.00%
2018,9,2,Baltimore,75.00%
2018,9,2,Detroit,50.00%
2018,9,2,Cincinnati,66.67%
2018,9,2,Seattle,100.00%
2018,9,2,Minnesota,0.00%
2018,9,2,Tennessee,100.00%
2018,9,2,NY Jets,0.00%
2018,9,2,Washington,100.00%
2018,9,2,LA Rams,25.00%
2018,9,2,Pittsburgh,100.00%
2018,9,2,Miami,50.00%
2018,9,2,Houston,100.00%
2018,9,2,Carolina,25.00%
2018,9,2,Buffalo,0.00%
2018,9,2,Atlanta,33.33%
2018,9,2,Tampa Bay,66.67%
2018,9,2,Cleveland,100.00%
2018,9,2,NY Giants,25.00%
2018,9,2,San Francisco,80.00%
2018,9,2,LA Chargers,33.33%
2018,9,2,Kansas City,100.00%
2018,9,2,Arizona,100.00%
2018,9,2,Indianapolis,66.67%
2018,9,2,Denver,33.33%
2018,2,25,Jacksonville,100.00%
2018,2,25,Philadelphia,50.00%
2018,2,25,New England,50.00%
2018,2,25,Green Bay,100.00%
2018,2,25,New Orleans,75.00%
2018,2,25,Chicago,0.00%
2018,2,25,Dallas,0.00%
2018,2,25,Las Vegas,0.00%
2018,2,25,Baltimore,75.00%
2018,2,25,Detroit,50.00%
2018,2,25,Cincinnati,66.67%
2018,2,25,Seattle,100.00%
2018,2,25,Minnesota,0.00%
2018,2,25,Tennessee,100.00%
2018,2,25,NY Jets,0.00%
2018,2,25,Washington,100.00%
2018,2,25,LA Rams,25.00%
2018,2,25,Pittsburgh,100.00%
2018,2,25,Miami,50.00%
2018,2,25,Houston,100.00%
2018,2,25,Carolina,25.00%
2018,2,25,Buffalo,0.00%
2018,2,25,Atlanta,33.33%
2018,2,25,Tampa Bay,66.67%
2018,2,25,Cleveland,100.00%
2018,2,25,NY Giants,25.00%
2018,2,25,San Francisco,80.00%
2018,2,25,LA Chargers,33.33%
2018,2,25,Kansas City,100.00%
2018,2,25,Arizona,100.00%
2018,2,25,Indianapolis,66.67%
2018,2,25,Denver,33.33%
2018,2,18,Jacksonville,100.00%
2018,2,18,Philadelphia,50.00%
2018,2,18,New England,50.00%
2018,2,18,Green Bay,100.00%
2018,2,18,New Orleans,75.00%
2018,2,18,Chicago,0.00%
2018,2,18,Dallas,0.00%
2018,2,18,Las Vegas,0.00%
2018,2,18,Baltimore,75.00%
2018,2,18,Detroit,50.00%
2018,2,18,Cincinnati,66.67%
2018,2,18,Seattle,100.00%
2018,2,18,Minnesota,0.00%
2018,2,18,Tennessee,100.00%
2018,2,18,NY Jets,0.00%
2018,2,18,Washington,100.00%
2018,2,18,LA Rams,25.00%
2018,2,18,Pittsburgh,100.00%
2018,2,18,Miami,50.00%
2018,2,18,Houston,100.00%
2018,2,18,Carolina,25.00%
2018,2,18,Buffalo,0.00%
2018,2,18,Atlanta,33.33%
2018,2,18,Tampa Bay,66.67%
2018,2,18,Cleveland,100.00%
2018,2,18,NY Giants,25.00%
2018,2,18,San Francisco,80.00%
2018,2,18,LA Chargers,33.33%
2018,2,18,Kansas City,100.00%
2018,2,18,Arizona,100.00%
2018,2,18,Indianapolis,66.67%
2018,2,18,Denver,33.33%
2018,2,11,Jacksonville,100.00%
2018,2,11,Philadelphia,50.00%
2018,2,11,New England,50.00%
2018,2,11,Green Bay,100.00%
2018,2,11,New Orleans,75.00%
2018,2,11,Chicago,0.00%
2018,2,11,Dallas,0.00%
2018,2,11,Las Vegas,0.00%
2018,2,11,Baltimore,75.00%
2018,2,11,Detroit,50.00%
2018,2,11,Cincinnati,66.67%
2018,2,11,Seattle,100.00%
2018,2,11,Minnesota,0.00%
2018,2,11,Tennessee,100.00%
2018,2,11,NY Jets,0.00%
2018,2,11,Washington,100.00%
2018,2,11,LA Rams,25.00%
2018,2,11,Pittsburgh,100.00%
2018,2,11,Miami,50.00%
2018,2,11,Houston,100.00%
2018,2,11,Carolina,25.00%
2018,2,11,Buffalo,0.00%
2018,2,11,Atlanta,33.33%
2018,2,11,Tampa Bay,66.67%
2018,2,11,Cleveland,100.00%
2018,2,11,NY Giants,25.00%
2018,2,11,San Francisco,80.00%
2018,2,11,LA Chargers,33.33%
2018,2,11,Kansas City,100.00%
2018,2,11,Arizona,100.00%
2018,2,11,Indianapolis,66.67%
2018,2,11,Denver,33.33%
2018,2,4,Jacksonville,100.00%
2018,2,4,Philadelphia,100.00%
2018,2,4,New England,75.00%
2018,2,4,Green Bay,100.00%
2018,2,4,New Orleans,75.00%
2018,2,4,Chicago,0.00%
2018,2,4,Dallas,0.00%
2018,2,4,Las Vegas,0.00%
2018,2,4,Baltimore,75.00%
2018,2,4,Detroit,50.00%
2018,2,4,Cincinnati,66.67%
2018,2,4,Seattle,100.00%
2018,2,4,Minnesota,0.00%
2018,2,4,Tennessee,100.00%
2018,2,4,NY Jets,0.00%
2018,2,4,Washington,100.00%
2018,2,4,LA Rams,25.00%
2018,2,4,Pittsburgh,100.00%
2018,2,4,Miami,50.00%
2018,2,4,Houston,100.00%
2018,2,4,Carolina,25.00%
2018,2,4,Buffalo,0.00%
2018,2,4,Atlanta,33.33%
2018,2,4,Tampa Bay,66.67%
2018,2,4,Cleveland,100.00%
2018,2,4,NY Giants,25.00%
2018,2,4,San Francisco,80.00%
2018,2,4,LA Chargers,33.33%
2018,2,4,Kansas City,100.00%
2018,2,4,Arizona,100.00%
2018,2,4,Indianapolis,66.67%
2018,2,4,Denver,33.33%
2018,1,28,Jacksonville,100.00%
2018,1,28,Philadelphia,100.00%
2018,1,28,New England,75.00%
2018,1,28,Green Bay,100.00%
2018,1,28,New Orleans,75.00%
2018,1,28,Chicago,0.00%
2018,1,28,Dallas,0.00%
2018,1,28,Las Vegas,0.00%
2018,1,28,Baltimore,75.00%
2018,1,28,Detroit,50.00%
2018,1,28,Cincinnati,66.67%
2018,1,28,Seattle,100.00%
2018,1,28,Minnesota,0.00%
2018,1,28,Tennessee,100.00%
2018,1,28,NY Jets,0.00%
2018,1,28,Washington,100.00%
2018,1,28,LA Rams,25.00%
2018,1,28,Pittsburgh,100.00%
2018,1,28,Miami,50.00%
2018,1,28,Houston,100.00%
2018,1,28,Carolina,25.00%
2018,1,28,Buffalo,0.00%
2018,1,28,Atlanta,33.33%
2018,1,28,Tampa Bay,66.67%
2018,1,28,Cleveland,100.00%
2018,1,28,NY Giants,25.00%
2018,1,28,San Francisco,80.00%
2018,1,28,LA Chargers,33.33%
2018,1,28,Kansas City,100.00%
2018,1,28,Arizona,100.00%
2018,1,28,Indianapolis,66.67%
2018,1,28,Denver,33.33%
2018,1,21,Jacksonville,100.00%
2018,1,21,Philadelphia,33.33%
2018,1,21,New England,100.00%
2018,1,21,Green Bay,100.00%
2018,1,21,New Orleans,75.00%
2018,1,21,Chicago,0.00%
2018,1,21,Dallas,0.00%
2018,1,21,Las Vegas,0.00%
2018,1,21,Minnesota,66.67%
2018,1,21,Baltimore,75.00%
2018,1,21,Detroit,50.00%
2018,1,21,Cincinnati,66.67%
2018,1,21,Seattle,100.00%
2018,1,21,Tennessee,100.00%
2018,1,21,NY Jets,0.00%
2018,1,21,Washington,100.00%
2018,1,21,LA Rams,25.00%
2018,1,21,Pittsburgh,100.00%
2018,1,21,Miami,50.00%
2018,1,21,Houston,100.00%
2018,1,21,Carolina,25.00%
2018,1,21,Buffalo,0.00%
2018,1,21,Atlanta,33.33%
2018,1,21,Tampa Bay,66.67%
2018,1,21,Cleveland,100.00%
2018,1,21,NY Giants,25.00%
2018,1,21,San Francisco,80.00%
2018,1,21,LA Chargers,33.33%
2018,1,21,Kansas City,100.00%
2018,1,21,Arizona,100.00%
2018,1,21,Indianapolis,66.67%
2018,1,21,Denver,33.33%
2018,1,14,Jacksonville,100.00%
2018,1,14,Philadelphia,33.33%
2018,1,14,New England,100.00%
2018,1,14,Green Bay,100.00%
2018,1,14,Chicago,0.00%
2018,1,14,New Orleans,100.00%
2018,1,14,Dallas,0.00%
2018,1,14,Las Vegas,0.00%
2018,1,14,Minnesota,100.00%
2018,1,14,Baltimore,75.00%
2018,1,14,Detroit,50.00%
2018,1,14,Cincinnati,66.67%
2018,1,14,Seattle,100.00%
2018,1,14,NY Jets,0.00%
2018,1,14,Tennessee,100.00%
2018,1,14,Washington,100.00%
2018,1,14,LA Rams,25.00%
2018,1,14,Miami,50.00%
2018,1,14,Houston,100.00%
2018,1,14,Carolina,25.00%
2018,1,14,Buffalo,0.00%
2018,1,14,Pittsburgh,50.00%
2018,1,14,Atlanta,33.33%
2018,1,14,Tampa Bay,66.67%
